Day,Metric,Unit,Amount
2017-10-22,"Weight",lbs,193.2
2017-10-23,"Blood Glucose",mg/dL,116.0
2017-10-23,"Weight",lbs,192.8
2017-10-23,"Blood Glucose",mg/dL,108.0
2017-10-24,"Waist Size",in,38.0
2017-10-24,"Blood Glucose",mg/dL,97.0
2017-10-24,"Weight",lbs,191.4
2017-10-24,"Body Temperature",°F,97.4
2017-10-24,"Body Fat",%,30.1
2017-10-25,"Blood Glucose",mg/dL,90.0
2017-10-25,"Body Fat",%,30.1
2017-10-25,"Weight",lbs,192.8
2017-10-25,"Body Temperature",°F,96.7
2017-10-26,"Weight",lbs,192.0
2017-10-26,"Body Temperature",°F,97.8
2017-10-26,"Blood Glucose",mg/dL,95.0
2017-10-27,"Weight",lbs,193.3
2017-10-27,"Body Temperature",°F,96.5
2017-10-27,"Ketones (Breath)",ppm,8.8
2017-10-28,"Ketones (Breath)",ppm,11.8
2017-10-28,"Waist Size",in,37.0
2017-10-28,"Weight (Nokia)",lbs,193.182
2017-10-28,"Body Fat (Nokia)",%,21.683
2017-10-28,"Body Fat (Nokia)",%,23.256
2017-10-29,"Body Fat (Nokia)",%,24.372
2017-10-29,"Weight (Nokia)",lbs,194.331
2017-10-29,"Body Fat (Nokia)",%,23.109
2017-10-29,"Ketones (Breath)",ppm,10.1
2017-10-29,"Weight (Nokia)",lbs,190.79
2017-10-29,"Body Fat (Nokia)",%,25.098
2017-10-29,"Body Temperature",°F,97.7
2017-10-29,"Weight (Nokia)",lbs,190.848
2017-10-29,"Body Fat (Nokia)",%,22.988
2017-10-29,"Weight (Nokia)",lbs,190.931
2017-10-29,"Body Fat (Nokia)",%,23.128
2017-10-29,"Weight (Nokia)",lbs,191.857
2017-10-30,"Weight (Nokia)",lbs,193.72
2017-10-30,"Body Fat (Nokia)",%,19.677
2017-10-30,"Blood Glucose",mg/dL,74.0
2017-10-30,"Weight (Nokia)",lbs,191.82
2017-10-30,"Body Fat (Nokia)",%,23.963
2017-10-30,"Weight (Nokia)",lbs,192.422
2017-10-30,"Body Fat (Nokia)",%,24.003
2017-10-31,"Blood Glucose",mg/dL,95.0
2017-10-31,"Weight (Nokia)",lbs,190.321
2017-10-31,"Body Fat (Nokia)",%,22.693
2017-10-31,"Blood Glucose",mg/dL,93.0
2017-10-31,"Weight (Nokia)",lbs,191.877
2017-10-31,"Body Fat (Nokia)",%,21.899
2017-11-1,"Weight (Nokia)",lbs,190.643
2017-11-1,"Body Fat (Nokia)",%,23.163
2017-11-1,"Blood Glucose",mg/dL,65.0
2017-11-1,"Blood Glucose",mg/dL,85.0
2017-11-1,"Blood Glucose",mg/dL,75.0
2017-11-1,"Blood Glucose",mg/dL,86.0
2017-11-2,"Body Temperature",°F,96.7
2017-11-2,"Weight (Nokia)",lbs,190.402
2017-11-2,"Body Fat (Nokia)",%,22.324
2017-11-2,"Blood Glucose",mg/dL,96.0
2017-11-3,"Weight (Nokia)",lbs,188.835
2017-11-3,"Body Fat (Nokia)",%,24.4
2017-11-3,"Blood Glucose",mg/dL,85.0
2017-11-4,"Weight (Nokia)",lbs,187.195
2017-11-4,"Body Fat (Nokia)",%,23.896
2017-11-4,"Weight (Nokia)",lbs,187.177
2017-11-4,"Body Fat (Nokia)",%,24.157
2017-11-5,"Weight (Nokia)",lbs,187.761
2017-11-5,"Body Fat (Nokia)",%,25.28
2017-11-5,"Ketones (Breath)",ppm,18.0
2017-11-5,"Pulse",bpm,60.0
2017-11-5,"Weight (Nokia)",lbs,188.138
2017-11-5,"Body Fat (Nokia)",%,22.909
2017-11-6,"Body Temperature",°F,96.9
2017-11-6,"Blood Glucose",mg/dL,91.0
2017-11-6,"Blood Glucose",mg/dL,94.0
2017-11-6,"Blood Glucose",mg/dL,77.0
2017-11-6,"Weight (Nokia)",lbs,188.266
2017-11-6,"Body Fat (Nokia)",%,23.701
2017-11-7,"Weight (Nokia)",lbs,188.581
2017-11-7,"Body Fat (Nokia)",%,22.048
2017-11-7,"Blood Glucose",mg/dL,98.0
2017-11-7,"Blood Glucose",mg/dL,94.0
2017-11-7,"Weight (Nokia)",lbs,189.093
2017-11-7,"Body Fat (Nokia)",%,24.029
2017-11-8,"Blood Glucose",mg/dL,107.0
2017-11-8,"Blood Glucose",mg/dL,62.0
2017-11-8,"Weight (Nokia)",lbs,186.978
2017-11-8,"Body Fat (Nokia)",%,22.827
2017-11-8,"Blood Glucose",mg/dL,77.0
2017-11-8,"Blood Glucose",mg/dL,84.0
2017-11-9,"Body Temperature",°F,98.0
2017-11-9,"Weight (Nokia)",lbs,186.588
2017-11-9,"Body Fat (Nokia)",%,22.993
2017-11-10,"Weight (Nokia)",lbs,185.041
2017-11-10,"Body Fat (Nokia)",%,22.792
2017-11-10,"Weight (Nokia)",lbs,185.746
2017-11-10,"Body Fat (Nokia)",%,22.088
2017-11-11,"Weight (Nokia)",lbs,184.267
2017-11-11,"Body Fat (Nokia)",%,23.51
2017-11-11,"Body Temperature",°F,98.0
2017-11-12,"Weight (Nokia)",lbs,184.293
2017-11-12,"Body Fat (Nokia)",%,24.296
2017-11-13,"Blood Glucose",mg/dL,101.0
2017-11-13,"Blood Glucose",mg/dL,88.0
2017-11-13,"Weight (Nokia)",lbs,188.608
2017-11-13,"Body Fat (Nokia)",%,23.086
2017-11-13,"Weight (Nokia)",lbs,188.722
2017-11-13,"Weight (Nokia)",lbs,188.639
2017-11-14,"Weight (Nokia)",lbs,186.161
2017-11-14,"Body Fat (Nokia)",%,17.93
2017-11-14,"Blood Glucose",mg/dL,85.0
2017-11-14,"Blood Glucose",mg/dL,79.0
2017-11-14,"Weight (Nokia)",lbs,185.512
2017-11-14,"Body Fat (Nokia)",%,21.142
2017-11-15,"Blood Glucose",mg/dL,95.0
2017-11-15,"Weight (Nokia)",lbs,182.355
2017-11-15,"Body Fat (Nokia)",%,21.628
2017-11-16,"Weight (Nokia)",lbs,180.922
2017-11-16,"Body Fat (Nokia)",%,21.995
2017-11-16,"Diastolic Blood Pressure",mmHg,88.0
2017-11-17,"Weight (Nokia)",lbs,180.616
2017-11-17,"Body Fat (Nokia)",%,22.41
2017-11-17,"Body Temperature",°F,98.1
2017-11-17,"Ketones (Breath)",ppm,11.6
2017-11-18,"Weight (Nokia)",lbs,180.435
2017-11-18,"Body Fat (Nokia)",%,22.164
2017-11-18,"Weight (Nokia)",lbs,179.648
2017-11-18,"Body Fat (Nokia)",%,22.188
2017-11-19,"Weight (Nokia)",lbs,181.291
2017-11-19,"Body Fat (Nokia)",%,21.306
2017-11-20,"Weight (Nokia)",lbs,183.043
2017-11-20,"Body Fat (Nokia)",%,20.849
2017-11-20,"Weight (Nokia)",lbs,183.248
2017-11-20,"Body Fat (Nokia)",%,22.317
2017-11-21,"Blood Glucose",mg/dL,90.0
2017-11-21,"Weight (Nokia)",lbs,180.523
2017-11-21,"Body Fat (Nokia)",%,21.995
2017-11-22,"Blood Glucose",mg/dL,93.0
2017-11-22,"Weight (Nokia)",lbs,180.651
2017-11-22,"Body Fat (Nokia)",%,22.809
2017-11-23,"Weight (Nokia)",lbs,181.185
2017-11-23,"Body Fat (Nokia)",%,22.717
2017-11-24,"Weight (Nokia)",lbs,181.249
