Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
2017-10-24,"Nature Made, Fish Oil 1200 mg","1.00 x 2.0 Softgels",35.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,3.00,25.00,0.50,0.72,,1.00,1.00,,,,,,,,,0.50,,,,
2017-10-24,"Centrum, Silver Men 50+","1.00 Tablet",,,,,1.50,1.70,20.00,10.00,6.00,100.00,300.00,3500.00,120.00,1000.00,40.27,60.00,210.00,0.50,,75.00,4.00,20.00,80.00,21.00,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-24,"Broccoli, Cooked from Frozen","1.00 cup, chopped",51.52,0.00,0.00,166.93,0.10,0.15,0.84,0.50,0.24,0.00,103.04,1860.30,73.79,0.00,2.08,162.11,60.72,0.06,1.12,23.92,0.41,90.16,261.29,1.29,20.24,0.52,9.84,5.52,1.25,2.70,4.32,0.22,0.00,0.01,0.08,0.02,0.10,0.03,0.00,0.04,0.10,0.22,0.27,0.29,0.07,0.17,5.70,0.19,0.06,0.13,0.26
2017-10-24,"Almond Flour","0.94 FDA Serving Size",162.49,0.00,0.00,1.24,0.05,0.25,0.99,0.11,0.03,0.00,12.98,1.32,0.00,0.00,6.83,0.00,69.67,0.29,0.96,74.69,0.55,133.60,206.55,1.00,3.03,0.84,5.55,3.07,0.24,1.25,2.47,14.26,0.00,9.05,0.00,3.43,3.43,1.08,0.00,0.07,0.16,0.20,0.41,0.16,0.05,0.32,5.91,0.18,0.06,0.14,0.23
2017-10-24,"Eggs, Cooked","0.88 large",68.20,0.00,0.00,32.83,0.03,0.23,0.03,0.62,0.05,0.49,19.36,228.80,0.00,38.28,0.45,0.13,22.00,0.01,0.52,4.40,0.01,75.68,55.44,13.55,54.56,0.46,0.49,0.00,0.00,0.49,0.49,4.67,164.12,1.79,0.03,0.59,0.62,1.44,0.00,0.13,0.13,0.30,0.47,0.40,0.17,0.29,5.54,0.27,0.07,0.23,0.34
2017-10-24,"Dill Pickles","1.00 large - 4"" long",16.20,0.00,0.00,127.36,0.06,0.08,0.15,0.27,0.05,0.00,10.80,168.75,3.11,0.00,0.04,23.36,76.95,0.04,0.35,9.45,0.08,21.60,157.95,0.00,1092.15,0.14,3.25,1.35,0.46,1.44,1.90,0.41,0.00,0.01,0.09,0.07,0.16,0.11,0.00,0.01,0.01,0.03,0.04,0.04,0.01,0.02,0.68,0.02,0.01,0.01,0.03
2017-10-24,"Chicken Breast, Skin Removed Before Cooking","4.00 small - split",726.60,0.00,0.00,271.99,0.27,0.49,52.17,4.08,2.52,1.43,16.80,121.80,0.00,21.00,1.13,1.26,63.00,0.21,4.45,113.40,0.07,907.20,1037.40,102.48,323.40,5.17,0.00,0.00,0.00,0.00,0.00,18.94,357.00,6.47,0.42,3.44,4.12,5.33,0.38,1.66,4.03,6.85,9.74,11.03,3.59,5.15,129.82,5.48,1.52,4.38,6.44
2017-10-24,"Sargento Foods Inc, Light String Cheese","2.00 PIECE",99.96,,,,,,,,,,,399.84,0.00,,,,299.88,,0.00,,,199.92,39.90,,320.04,,2.00,0.00,,0.00,2.00,5.00,20.16,,,,,3.00,0.00,,,,,,,,12.00,,,,
2017-10-24,"Tomato Raw, Includes Cherry, Grape, Roma","1.00 medium - 2 3/5"" diameter",22.14,0.00,0.00,116.26,0.05,0.02,0.73,0.11,0.10,0.00,18.45,1024.59,16.85,0.00,0.66,9.72,12.30,0.07,0.33,13.53,0.14,29.52,291.51,0.00,6.15,0.21,4.78,1.48,0.00,3.23,3.31,0.25,0.00,0.04,0.00,0.10,0.10,0.03,0.00,0.01,0.02,0.02,0.03,0.03,0.01,0.03,1.08,0.03,0.01,0.02,0.02
2017-10-25,"Bulk Supplements, Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-25,"Holland & Barrett, Magnesium Citrate 100 mg ","3.00 tablet",,,,,,,,,,,,,,,,,,,,300.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-25,"Centrum, Silver","1.00 Tablet",,,,,1.50,1.70,20.00,10.00,3.00,25.00,400.00,2500.00,60.00,1000.00,33.62,30.00,220.00,0.50,,50.00,2.30,20.00,80.00,19.00,,11.00,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-25,"Spring Valley, Fish Oil, 1400 mg","2.00 Softgel",30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3.00,10.00,,1.80,,2.00,,,,,,,,,,,,,,
2017-10-25,"Salt, Low Sodium or Lite","1.00 x 0.25 tsp",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.79,0.00,0.00,325.00,0.00,243.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-10-25,"Chicken Breast, Skin Removed Before Cooking","1.62 cup",686.63,0.00,0.00,257.03,0.26,0.46,49.30,3.86,2.38,1.35,15.88,115.10,0.00,19.84,1.07,1.19,59.53,0.20,4.21,107.16,0.07,857.29,980.33,96.84,305.61,4.88,0.00,0.00,0.00,0.00,0.00,17.90,337.36,6.11,0.40,3.25,3.89,5.04,0.36,1.57,3.81,6.48,9.20,10.42,3.39,4.87,122.68,5.18,1.43,4.14,6.08
2017-10-25,"Broccoli, Cooked from Frozen","4.00 FDA Serving Size",95.20,0.00,0.00,308.45,0.19,0.28,1.56,0.93,0.44,0.00,190.40,3437.40,136.34,0.00,3.84,299.54,112.20,0.12,2.07,44.20,0.76,166.60,482.80,2.38,37.40,0.95,18.19,10.20,2.31,5.00,7.99,0.41,0.00,0.03,0.14,0.04,0.19,0.06,0.00,0.07,0.19,0.41,0.49,0.53,0.13,0.32,10.54,0.34,0.11,0.24,0.48
2017-10-25,"Morton, Sea Salt","5.60 g",0.00,,,,,,,,,,,,,,,,,,,,,,,,2279.98,,0.00,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,,,,
2017-10-25,"Jalapeno Pepper, Raw","1.00 large - approx 4"" - 6"" long",13.05,0.00,0.00,41.26,0.02,0.03,0.58,0.14,0.19,0.00,12.15,485.10,53.37,0.00,1.61,8.33,5.40,0.02,0.11,6.75,0.04,11.70,111.60,0.18,1.35,0.06,2.93,1.26,0.00,1.85,1.67,0.17,0.00,0.01,0.02,0.03,0.05,0.04,0.00,0.01,0.01,0.02,0.03,0.03,0.01,0.02,0.41,0.02,0.01,0.01,0.03
2017-10-25,"Zucchini, Raw","1.00 large",54.91,0.00,0.00,306.17,0.15,0.30,1.46,0.66,0.53,0.00,77.52,646.00,57.82,0.00,0.39,13.89,51.68,0.17,1.20,58.14,0.57,122.74,843.03,0.65,25.84,1.03,10.05,3.23,0.00,8.08,6.82,1.03,0.00,0.04,0.20,0.10,0.29,0.27,0.00,0.04,0.08,0.14,0.23,0.22,0.06,0.14,3.91,0.09,0.03,0.10,0.17
2017-10-25,"Almond Flour","0.25 cup",160.50,0.00,0.00,1.22,0.05,0.25,0.97,0.11,0.03,0.00,12.82,1.30,0.00,0.00,6.75,0.00,68.82,0.28,0.95,73.77,0.55,131.96,204.01,0.99,2.99,0.83,5.48,3.04,0.24,1.24,2.44,14.09,0.00,8.94,0.00,3.39,3.39,1.07,0.00,0.07,0.16,0.20,0.40,0.16,0.05,0.31,5.84,0.18,0.06,0.14,0.23
2017-10-25,"Egg Whites Only, Cooked","1.00 FDA Serving Size",26.00,0.00,0.00,43.79,0.00,0.22,0.05,0.10,0.00,0.05,2.00,0.00,0.00,0.00,0.00,0.00,3.50,0.01,0.04,5.50,0.01,7.50,81.50,10.00,83.00,0.02,0.37,0.00,0.00,0.36,0.37,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.15,0.33,0.51,0.40,0.20,0.34,5.45,0.22,0.06,0.23,0.40
2017-10-26,"Bulk Supplements, Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-26,"Centrum, Silver","1.00 Tablet",,,,,1.50,1.70,20.00,10.00,3.00,25.00,400.00,2500.00,60.00,1000.00,33.62,30.00,220.00,0.50,,50.00,2.30,20.00,80.00,19.00,,11.00,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-26,"Spring Valley, Magnesium Citrate","2.00 capsule",,,,,,,,,,,,,,,,,,,,200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-26,"Nature Made, Fish Oil 1200 mg","1.00 x 2.0 Softgels",35.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,3.00,25.00,0.50,0.72,,1.00,1.00,,,,,,,,,0.50,,,,
2017-10-26,"Tap Water","12.66 cup",0.00,0.00,0.00,2997.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.30,0.00,30.00,0.00,0.00,0.00,0.00,120.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
