Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Daily Total Cals,Cals/100,Weight
10/24/2017,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,,1182.11,118.211,191.4
10/24/2017,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,,1182.11,118.211,191.4
10/24/2017,"Broccoli, Cooked from Frozen","1.00 cup, chopped",51.52,0,0,166.93,0.1,0.15,0.84,0.5,0.24,0,103.04,1860.3,73.79,0,2.08,162.11,60.72,0.06,1.12,23.92,0.41,90.16,261.29,1.29,20.24,0.52,9.84,5.52,1.25,2.7,4.32,0.22,0,0.01,0.08,0.02,0.1,0.03,0,0.04,0.1,0.22,0.27,0.29,0.07,0.17,5.7,0.19,0.06,0.13,0.26,1182.11,118.211,191.4
10/24/2017,Almond Flour,0.94 FDA Serving Size,162.49,0,0,1.24,0.05,0.25,0.99,0.11,0.03,0,12.98,1.32,0,0,6.83,0,69.67,0.29,0.96,74.69,0.55,133.6,206.55,1,3.03,0.84,5.55,3.07,0.24,1.25,2.47,14.26,0,9.05,0,3.43,3.43,1.08,0,0.07,0.16,0.2,0.41,0.16,0.05,0.32,5.91,0.18,0.06,0.14,0.23,1182.11,118.211,191.4
10/24/2017,"Eggs, Cooked",0.88 large,68.2,0,0,32.83,0.03,0.23,0.03,0.62,0.05,0.49,19.36,228.8,0,38.28,0.45,0.13,22,0.01,0.52,4.4,0.01,75.68,55.44,13.55,54.56,0.46,0.49,0,0,0.49,0.49,4.67,164.12,1.79,0.03,0.59,0.62,1.44,0,0.13,0.13,0.3,0.47,0.4,0.17,0.29,5.54,0.27,0.07,0.23,0.34,1182.11,118.211,191.4
10/24/2017,Dill Pickles,"1.00 large - 4"" long",16.2,0,0,127.36,0.06,0.08,0.15,0.27,0.05,0,10.8,168.75,3.11,0,0.04,23.36,76.95,0.04,0.35,9.45,0.08,21.6,157.95,0,1092.15,0.14,3.25,1.35,0.46,1.44,1.9,0.41,0,0.01,0.09,0.07,0.16,0.11,0,0.01,0.01,0.03,0.04,0.04,0.01,0.02,0.68,0.02,0.01,0.01,0.03,1182.11,118.211,191.4
10/24/2017,"Chicken Breast, Skin Removed Before Cooking",4.00 small - split,726.6,0,0,271.99,0.27,0.49,52.17,4.08,2.52,1.43,16.8,121.8,0,21,1.13,1.26,63,0.21,4.45,113.4,0.07,907.2,1037.4,102.48,323.4,5.17,0,0,0,0,0,18.94,357,6.47,0.42,3.44,4.12,5.33,0.38,1.66,4.03,6.85,9.74,11.03,3.59,5.15,129.82,5.48,1.52,4.38,6.44,1182.11,118.211,191.4
10/24/2017,"Sargento Foods Inc, Light String Cheese",2.00 PIECE,99.96,,,,,,,,,,,399.84,0,,,,299.88,,0,,,199.92,39.9,,320.04,,2,0,,0,2,5,20.16,,,,,3,0,,,,,,,,12,,,,,1182.11,118.211,191.4
10/24/2017,"Tomato Raw, Includes Cherry, Grape, Roma","1.00 medium - 2 3/5"" diameter",22.14,0,0,116.26,0.05,0.02,0.73,0.11,0.1,0,18.45,1024.59,16.85,0,0.66,9.72,12.3,0.07,0.33,13.53,0.14,29.52,291.51,0,6.15,0.21,4.78,1.48,0,3.23,3.31,0.25,0,0.04,0,0.1,0.1,0.03,0,0.01,0.02,0.02,0.03,0.03,0.01,0.03,1.08,0.03,0.01,0.02,0.02,1182.11,118.211,191.4
10/25/2017,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1066.29,106.629,192.8
