"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","3.9","9.0","195.6","47","461","21","77"
"2","6.8","17.0","195.6","47","461","21","77"
"3","9.8","26.0","184.3","56","492","21","78"
"4","12.9","34.0","181.0","59","503","20","78"
"5","15.9","43.0","181.0","59","503","20","78"
"6","18.9","51.0","181.5","59","501","20","76"
"7","22.4","61.0","179.6","60","508","17","73"
"8","25.7","70.0","179.6","60","508","17","69"
"9","29.0","78.0","187.9","53","481","18","63"
"10","32.3","87.0","187.9","53","481","18","61"
"11","35.7","97.0","183.6","57","494","18","61"
"12","38.9","106.0","177.1","63","517","19","61"
"13","42.3","116.0","177.1","63","517","19","61"
"14","45.5","125.0","170.9","70","541","19","61"
"15","48.7","135.0","170.9","70","541","19","84"
"16","52.2","145.0","169.7","72","546","19","87"
"17","59.2","163.0","191.7","50","471","64","91"
"18","62.2","171.0","183.5","57","495","20","92"
"19","65.7","181.0","180.6","59","504","17","93"
"20","69.4","191.0","180.6","59","504","17","93"
"21","72.8","200.0","179.5","61","508","16","90"
"22","76.4","210.0","181.4","59","502","17","89"
"23","79.9","219.0","191.3","50","472","17","89"
"24","83.6","230.0","180.4","60","505","16","89"
"25","87.1","239.0","179.1","61","509","17","89"
"26","90.8","250.0","179.1","61","509","17","89"
"27","94.6","261.0","177.3","63","516","16","112"
"28","98.3","272.0","171.8","69","537","16","118"
"29","102.1","282.0","184.4","56","492","16","114"
"30","105.7","292.0","178.8","61","510","17","111"
"31","109.1","302.0","177.4","63","515","18","110"
"32","112.4","311.0","177.4","63","515","18","108"
"33","115.8","322.0","173.3","67","531","18","110"
"34","119.2","332.0","162.8","81","579","17","111"
"35","122.8","343.0","163.5","80","575","17","113"
"36","126.4","354.0","164.1","79","572","17","111"
"37","129.7","364.0","164.4","79","571","18","110"
"38","133.1","374.0","166.2","76","562","18","111"
"39","136.7","385.0","171.3","70","539","17","112"
"40","140.2","395.0","180.8","59","504","17","113"
"41","143.6","404.0","173.7","67","530","18","114"
"42","147.1","415.0","168.8","73","550","17","113"
"43","150.6","425.0","166.7","76","560","17","112"
"44","154.1","436.0","168.6","73","551","17","113"
"45","157.8","447.0","168.6","73","551","17","113"
"46","161.1","458.0","157.2","90","610","18","113"
"47","164.5","468.0","157.2","90","610","18","114"
"48","168.2","479.0","166.0","77","563","16","114"
"49","171.7","490.0","164.2","79","572","17","116"
"50","175.2","501.0","162.8","81","579","17","116"
"51","178.7","512.0","162.9","81","578","17","117"
"52","182.2","522.0","162.9","81","578","17","118"
"53","186.8","535.0","165.9","77","563","17","118"
"54","190.7","547.0","167.7","74","555","15","119"
"55","194.9","559.0","167.7","74","555","15","119"
"56","199.3","571.0","172.7","68","534","14","118"
"57","203.5","582.0","184.5","56","492","14","116"
"58","206.9","593.0","186.4","54","486","14","115"
"59","210.1","602.0","162.5","82","580","19","114"
"60","213.3","612.0","162.5","82","580","19","113"
"61","216.3","622.0","163.6","80","575","19","112"
"62","219.4","631.0","162.9","81","578","20","112"
"63","222.6","640.0","170.7","70","542","19","113"
"64","225.6","649.0","165.0","78","568","20","113"
"65","228.9","659.0","165.0","78","568","20","114"
"66","232.0","668.0","172.4","68","535","18","115"
"67","235.1","677.0","167.7","74","555","19","115"
"68","238.4","687.0","167.7","74","555","19","115"
"69","241.8","697.0","170.3","71","544","19","116"
