Time (secs),Lat,Lon,Elev,Heart_Rate (bpm),HRmax (bpm),HRmin (bpm)
0,39.89416,-79.72081,272.0,,122,112
7,39.89419,-79.7209,273.0,,122,112
14,39.894264,-79.72096,270.0,,122,112
19,39.89433,-79.720985,269.0,,122,112
24,39.89441,-79.72099,271.0,,122,112
29,39.89449,-79.72097,272.0,,122,112
34,39.894566,-79.72094,270.0,,122,112
39,39.894638,-79.720894,268.0,,122,112
44,39.89472,-79.721,264.0,,122,112
52,39.89481,-79.72118,264.0,,122,112
57,39.894882,-79.72114,265.0,,122,112
62,39.89496,-79.721054,268.0,,122,112
67,39.895042,-79.72111,269.0,,122,112
72,39.89508,-79.72122,268.0,,122,112
81,39.895187,-79.72139,265.0,,122,112
86,39.895214,-79.72151,268.0,,122,112
91,39.895195,-79.72161,267.0,,122,112
96,39.895176,-79.7217,266.0,,122,112
104,39.89529,-79.72175,264.0,,122,112
109,39.89537,-79.72182,263.0,,122,112
114,39.895473,-79.721855,263.0,,122,112
119,39.895546,-79.72191,262.0,,122,112
124,39.895634,-79.72198,264.0,,122,112
129,39.89569,-79.72206,265.0,,122,112
134,39.895687,-79.722145,266.0,,122,112
139,39.895607,-79.72219,265.0,,122,112
144,39.895523,-79.722244,262.0,,122,112
149,39.895435,-79.722275,260.0,,122,112
154,39.895336,-79.72236,260.0,,122,112
159,39.89524,-79.72239,260.0,,122,112
165,39.895145,-79.72242,261.0,,122,112
171,39.89509,-79.72248,261.0,,122,112
176,39.895042,-79.72251,262.0,,122,112
181,39.894978,-79.72259,267.0,,122,112
187,39.89489,-79.72266,270.0,,122,112
192,39.894833,-79.722664,266.0,,122,112
197,39.894745,-79.7227,265.0,,122,112
202,39.894676,-79.72273,265.0,,122,112
207,39.894592,-79.72278,265.0,,122,112
211,39.894527,-79.72282,264.0,,122,112
219,39.89447,-79.72287,266.0,,122,112
224,39.89439,-79.72291,266.0,,122,112
229,39.894318,-79.72295,266.0,,122,112
234,39.89423,-79.72299,266.0,,122,112
239,39.894173,-79.72301,265.0,,122,112
245,39.894085,-79.72308,265.0,,122,112
250,39.893993,-79.72315,264.0,,122,112
255,39.893913,-79.723175,265.0,,122,112
260,39.893837,-79.72321,267.0,,122,112
265,39.893753,-79.72326,269.0,,122,112
269,39.893715,-79.7233,269.0,,122,112
277,39.893654,-79.723335,270.0,,122,112
282,39.893578,-79.7234,271.0,,122,112
287,39.893505,-79.72344,270.0,,122,112
292,39.893406,-79.72348,270.0,,122,112
297,39.893345,-79.72351,270.0,,122,112
307,39.89326,-79.72356,272.0,,122,112
312,39.893177,-79.723595,271.0,,122,112
317,39.893074,-79.72364,270.0,,122,112
322,39.893,-79.72361,271.0,,122,112
327,39.89295,-79.72352,271.0,,122,112
332,39.892902,-79.72342,270.0,,122,112
337,39.892887,-79.72333,271.0,,122,112
346,39.89286,-79.723175,267.0,,122,112
351,39.892845,-79.72308,268.0,,122,112
356,39.8928,-79.72298,266.0,,122,112
361,39.89276,-79.72284,267.0,,122,112
366,39.892754,-79.72274,268.0,,122,112
371,39.892742,-79.722626,266.0,,122,112
376,39.892723,-79.72249,267.0,,122,112
381,39.8927,-79.72238,266.0,,122,112
386,39.89267,-79.72227,266.0,,122,112
391,39.892662,-79.72219,268.0,,122,112
396,39.89264,-79.722115,266.0,,122,112
