Date_Time,Lat,Lon,Elev,Heart
2018-07-20T09:24:06Z,40.0071000,-79.5889120,290.4,71
2018-07-20T09:24:16Z,40.0071170,-79.5889460,290.3,70
2018-07-20T09:24:22Z,40.0071310,-79.5889830,290.2,66
2018-07-20T09:24:27Z,40.0071520,-79.5890060,290.2,64
2018-07-20T09:24:42Z,40.0071780,-79.5889730,290.2,69
2018-07-20T09:24:46Z,40.0072110,-79.5889660,290.1,75
2018-07-20T09:24:49Z,40.0072510,-79.5889480,290.1,76
2018-07-20T09:24:52Z,40.0072830,-79.5889270,290.0,75
2018-07-20T09:24:54Z,40.0073150,-79.5889170,290.0,74
2018-07-20T09:24:57Z,40.0073410,-79.5889060,290.0,72
2018-07-20T09:25:01Z,40.0073780,-79.5888940,289.9,72
2018-07-20T09:25:04Z,40.0074120,-79.5888750,289.9,70
2018-07-20T09:25:06Z,40.0074390,-79.5888620,289.9,71
2018-07-20T09:25:10Z,40.0074800,-79.5888500,289.8,72
2018-07-20T09:25:12Z,40.0075120,-79.5888520,289.8,73
2018-07-20T09:25:16Z,40.0075490,-79.5888510,289.7,73
2018-07-20T09:25:18Z,40.0075780,-79.5888360,289.7,73
2018-07-20T09:25:21Z,40.0076160,-79.5888340,289.6,72
2018-07-20T09:25:23Z,40.0076460,-79.5888350,289.6,70
2018-07-20T09:25:25Z,40.0076820,-79.5888360,289.5,71
2018-07-20T09:25:27Z,40.0077110,-79.5888390,289.5,72
2018-07-20T09:25:30Z,40.0077390,-79.5888430,289.4,73
2018-07-20T09:25:33Z,40.0077670,-79.5888380,289.4,73
2018-07-20T09:25:36Z,40.0078060,-79.5888360,289.3,73
2018-07-20T09:25:39Z,40.0078430,-79.5888400,289.3,74
2018-07-20T09:25:41Z,40.0078710,-79.5888460,289.2,74
2018-07-20T09:25:44Z,40.0079020,-79.5888510,289.2,74
2018-07-20T09:25:46Z,40.0079330,-79.5888460,289.1,73
2018-07-20T09:25:49Z,40.0079690,-79.5888470,289.1,75
2018-07-20T09:25:51Z,40.0080000,-79.5888570,289.0,75
2018-07-20T09:25:53Z,40.0080320,-79.5888670,288.9,75
2018-07-20T09:25:56Z,40.0080600,-79.5888650,288.9,75
2018-07-20T09:25:59Z,40.0080890,-79.5888600,288.8,77
2018-07-20T09:26:01Z,40.0081200,-79.5888530,288.7,77
2018-07-20T09:26:03Z,40.0081490,-79.5888450,288.7,76
2018-07-20T09:26:06Z,40.0081900,-79.5888490,288.6,76
2018-07-20T09:26:09Z,40.0082210,-79.5888580,288.5,78
2018-07-20T09:26:11Z,40.0082490,-79.5888580,288.5,78
2018-07-20T09:26:13Z,40.0082890,-79.5888590,288.4,77
2018-07-20T09:26:15Z,40.0083260,-79.5888650,288.3,75
2018-07-20T09:26:17Z,40.0083540,-79.5888710,288.2,74
2018-07-20T09:26:21Z,40.0083840,-79.5888780,288.2,71
2018-07-20T09:26:24Z,40.0084160,-79.5888720,288.1,71
2018-07-20T09:26:26Z,40.0084520,-79.5888780,288.0,71
2018-07-20T09:26:28Z,40.0084800,-79.5888870,288.1,71
2018-07-20T09:26:30Z,40.0085080,-79.5888930,288.1,71
2018-07-20T09:26:32Z,40.0085390,-79.5888980,288.2,71
2018-07-20T09:26:35Z,40.0085780,-79.5888990,288.3,71
2018-07-20T09:26:37Z,40.0086090,-79.5888930,288.4,72
2018-07-20T09:26:39Z,40.0086370,-79.5888920,288.4,72
2018-07-20T09:26:41Z,40.0086660,-79.5888970,288.5,72
2018-07-20T09:26:43Z,40.0086930,-79.5889020,288.5,71
2018-07-20T09:26:45Z,40.0087220,-79.5889080,288.6,73
2018-07-20T09:26:48Z,40.0087600,-79.5889130,288.7,76
2018-07-20T09:26:50Z,40.0087880,-79.5889100,288.8,77
2018-07-20T09:26:53Z,40.0088270,-79.5889040,288.8,79
2018-07-20T09:26:55Z,40.0088590,-79.5888980,288.9,78
2018-07-20T09:26:58Z,40.0088910,-79.5888890,289.0,79
2018-07-20T09:27:01Z,40.0089160,-79.5888610,289.0,80
2018-07-20T09:27:04Z,40.0089520,-79.5888430,289.0,80
2018-07-20T09:27:07Z,40.0089900,-79.5888370,289.0,81
2018-07-20T09:27:11Z,40.0090250,-79.5888370,289.0,83
2018-07-20T09:27:14Z,40.0090640,-79.5888320,289.0,83
2018-07-20T09:27:17Z,40.0090960,-79.5888320,289.0,83
2018-07-20T09:27:21Z,40.0091330,-79.5888400,289.0,80
2018-07-20T09:27:23Z,40.0091630,-79.5888410,289.0,81
2018-07-20T09:27:25Z,40.0091940,-79.5888350,289.0,81
2018-07-20T09:27:27Z,40.0092310,-79.5888310,289.0,81
2018-07-20T09:27:31Z,40.0092640,-79.5888400,289.0,81
2018-07-20T09:27:33Z,40.0092920,-79.5888420,289.0,81
2018-07-20T09:27:36Z,40.0093290,-79.5888390,289.0,82
2018-07-20T09:27:38Z,40.0093620,-79.5888490,289.1,81
2018-07-20T09:27:41Z,40.0093880,-79.5888590,289.1,80
2018-07-20T09:27:44Z,40.0094250,-79.5888590,289.2,80
2018-07-20T09:27:47Z,40.0094660,-79.5888590,289.3,80
2018-07-20T09:27:49Z,40.0095040,-79.5888610,289.4,80
2018-07-20T09:27:52Z,40.0095360,-79.5888650,289.5,80
2018-07-20T09:27:55Z,40.0095680,-79.5888620,289.5,80
2018-07-20T09:27:58Z,40.0096040,-79.5888590,289.6,80
2018-07-20T09:28:00Z,40.0096420,-79.5888640,289.7,80
2018-07-20T09:28:03Z,40.0096740,-79.5888760,289.8,84
2018-07-20T09:28:05Z,40.0097110,-79.5888870,289.9,83
2018-07-20T09:28:07Z,40.0097390,-79.5888870,289.9,83
2018-07-20T09:28:10Z,40.0097750,-79.5888810,290.0,82
2018-07-20T09:28:12Z,40.0098080,-79.5888850,290.0,82
2018-07-20T09:28:15Z,40.0098360,-79.5888850,290.0,83
2018-07-20T09:28:18Z,40.0098770,-79.5888800,290.0,82
2018-07-20T09:28:20Z,40.0099040,-79.5888740,290.0,84
2018-07-20T09:28:23Z,40.0099440,-79.5888580,290.0,84
2018-07-20T09:28:25Z,40.0099760,-79.5888520,290.0,84
2018-07-20T09:28:29Z,40.0100100,-79.5888510,290.0,83
2018-07-20T09:28:31Z,40.0100380,-79.5888470,290.0,81
2018-07-20T09:28:33Z,40.0100700,-79.5888440,290.0,81
2018-07-20T09:28:35Z,40.0100970,-79.5888370,290.0,81
2018-07-20T09:28:37Z,40.0101260,-79.5888320,289.9,81
2018-07-20T09:28:40Z,40.0101610,-79.5888350,290.0,81
2018-07-20T09:28:43Z,40.0101890,-79.5888340,290.0,79
2018-07-20T09:28:45Z,40.0102180,-79.5888310,290.0,79
2018-07-20T09:28:47Z,40.0102480,-79.5888330,290.0,77
2018-07-20T09:28:49Z,40.0102870,-79.5888380,290.0,79
2018-07-20T09:28:51Z,40.0103150,-79.5888480,290.0,80
2018-07-20T09:28:54Z,40.0103480,-79.5888660,290.0,81
2018-07-20T09:28:56Z,40.0103780,-79.5888700,290.0,81
2018-07-20T09:28:59Z,40.0104060,-79.5888750,290.0,82
2018-07-20T09:29:02Z,40.0104460,-79.5888680,290.1,84
2018-07-20T09:29:05Z,40.0104800,-79.5888630,290.1,84
2018-07-20T09:29:09Z,40.0105180,-79.5888520,290.1,84
2018-07-20T09:29:11Z,40.0105540,-79.5888540,290.1,84
2018-07-20T09:29:13Z,40.0105830,-79.5888580,290.1,84
2018-07-20T09:29:15Z,40.0106230,-79.5888600,290.1,84
2018-07-20T09:29:18Z,40.0106530,-79.5888620,290.2,83
2018-07-20T09:29:22Z,40.0106810,-79.5888440,290.2,82
2018-07-20T09:29:24Z,40.0107060,-79.5888280,290.2,81
2018-07-20T09:29:26Z,40.0107360,-79.5888230,290.2,79
2018-07-20T09:29:28Z,40.0107670,-79.5888250,290.2,79
2018-07-20T09:29:31Z,40.0107990,-79.5888330,290.2,80
2018-07-20T09:29:34Z,40.0108300,-79.5888360,290.2,79
2018-07-20T09:29:36Z,40.0108630,-79.5888340,290.3,80
2018-07-20T09:29:38Z,40.0108920,-79.5888300,290.3,80
2018-07-20T09:29:40Z,40.0109230,-79.5888260,290.3,79
2018-07-20T09:29:42Z,40.0109600,-79.5888290,290.4,78
2018-07-20T09:29:45Z,40.0109980,-79.5888460,290.5,79
2018-07-20T09:29:48Z,40.0110400,-79.5888520,290.6,78
2018-07-20T09:29:50Z,40.0110760,-79.5888510,290.7,78
2018-07-20T09:29:52Z,40.0111030,-79.5888510,290.8,78
2018-07-20T09:29:55Z,40.0111460,-79.5888530,290.9,78
2018-07-20T09:29:57Z,40.0111770,-79.5888630,291.0,80
2018-07-20T09:30:01Z,40.0112130,-79.5888780,291.1,81
2018-07-20T09:30:03Z,40.0112460,-79.5888740,291.1,81
2018-07-20T09:30:05Z,40.0112730,-79.5888720,291.1,84
2018-07-20T09:30:07Z,40.0113040,-79.5888790,291.2,84
2018-07-20T09:30:09Z,40.0113320,-79.5888920,291.2,85
2018-07-20T09:30:13Z,40.0113650,-79.5888970,291.3,86
2018-07-20T09:30:15Z,40.0113960,-79.5888900,291.3,86
2018-07-20T09:30:18Z,40.0114350,-79.5888790,291.3,86
2018-07-20T09:30:20Z,40.0114730,-79.5888840,291.4,86
2018-07-20T09:30:22Z,40.0115140,-79.5888960,291.4,86
2018-07-20T09:30:25Z,40.0115480,-79.5889050,291.5,85
2018-07-20T09:30:28Z,40.0115800,-79.5889020,291.5,84
2018-07-20T09:30:30Z,40.0116110,-79.5889040,291.5,84
2018-07-20T09:30:32Z,40.0116420,-79.5889060,291.6,84
2018-07-20T09:30:35Z,40.0116780,-79.5889100,291.6,84
2018-07-20T09:30:37Z,40.0117050,-79.5889190,291.6,83
2018-07-20T09:30:40Z,40.0117440,-79.5889300,291.7,81
2018-07-20T09:30:42Z,40.0117710,-79.5889360,291.7,83
2018-07-20T09:30:44Z,40.0118010,-79.5889370,291.7,83
2018-07-20T09:30:46Z,40.0118290,-79.5889420,291.8,83
2018-07-20T09:30:49Z,40.0118680,-79.5889410,291.8,82
2018-07-20T09:30:52Z,40.0118970,-79.5889390,291.8,82
2018-07-20T09:30:55Z,40.0119350,-79.5889410,291.9,81
2018-07-20T09:30:57Z,40.0119630,-79.5889400,291.9,80
2018-07-20T09:31:00Z,40.0119930,-79.5889260,291.9,80
2018-07-20T09:31:02Z,40.0120290,-79.5889330,292.0,80
2018-07-20T09:31:04Z,40.0120630,-79.5889380,292.0,80
2018-07-20T09:31:07Z,40.0121000,-79.5889310,292.1,82
2018-07-20T09:31:10Z,40.0121300,-79.5889280,292.1,82
2018-07-20T09:31:12Z,40.0121580,-79.5889210,292.1,84
2018-07-20T09:31:16Z,40.0121960,-79.5889200,292.1,85
2018-07-20T09:31:18Z,40.0122280,-79.5889200,292.0,85
2018-07-20T09:31:20Z,40.0122650,-79.5889250,292.0,85
2018-07-20T09:31:22Z,40.0123070,-79.5889250,292.0,85
2018-07-20T09:31:25Z,40.0123420,-79.5889270,292.0,85
2018-07-20T09:31:28Z,40.0123790,-79.5889250,292.0,87
2018-07-20T09:31:30Z,40.0124120,-79.5889230,292.0,87
2018-07-20T09:31:33Z,40.0124520,-79.5889270,292.1,87
2018-07-20T09:31:35Z,40.0124830,-79.5889340,292.1,86
2018-07-20T09:31:37Z,40.0125180,-79.5889360,292.0,86
2018-07-20T09:31:40Z,40.0125510,-79.5889410,292.0,85
2018-07-20T09:31:43Z,40.0125820,-79.5889260,292.0,85
2018-07-20T09:31:45Z,40.0126190,-79.5889250,292.0,85
2018-07-20T09:31:48Z,40.0126580,-79.5889310,292.0,84
2018-07-20T09:31:50Z,40.0126890,-79.5889270,292.1,84
2018-07-20T09:31:52Z,40.0127150,-79.5889160,292.2,85
2018-07-20T09:31:56Z,40.0127540,-79.5889120,292.2,87
2018-07-20T09:31:58Z,40.0127820,-79.5889030,292.3,87
2018-07-20T09:32:01Z,40.0128240,-79.5889020,292.4,86
2018-07-20T09:32:03Z,40.0128650,-79.5889120,292.5,86
2018-07-20T09:32:06Z,40.0128970,-79.5889270,292.6,85
2018-07-20T09:32:09Z,40.0129360,-79.5889270,292.7,85
2018-07-20T09:32:12Z,40.0129720,-79.5889220,292.7,84
2018-07-20T09:32:14Z,40.0130020,-79.5889230,292.8,84
2018-07-20T09:32:16Z,40.0130370,-79.5889230,292.9,83
2018-07-20T09:32:19Z,40.0130680,-79.5889310,293.0,84
2018-07-20T09:32:22Z,40.0130950,-79.5889440,293.0,85
