Lat,Lon,Elev,Date_Time,Heart
40.0070560,-79.5889880,290.5,2018-07-27T10:40:00Z,67
40.0070240,-79.5889720,290.5,2018-07-27T10:40:03Z,67
40.0069960,-79.5889610,290.5,2018-07-27T10:40:05Z,67
40.0069660,-79.5889480,290.6,2018-07-27T10:40:08Z,67
40.0069250,-79.5889500,290.6,2018-07-27T10:40:12Z,67
40.0068970,-79.5889450,290.7,2018-07-27T10:40:14Z,67
40.0068660,-79.5889450,290.7,2018-07-27T10:40:16Z,67
40.0068370,-79.5889440,290.8,2018-07-27T10:40:18Z,67
40.0068070,-79.5889390,290.8,2018-07-27T10:40:21Z,67
40.0067780,-79.5889370,290.8,2018-07-27T10:40:23Z,67
40.0067410,-79.5889280,290.9,2018-07-27T10:40:26Z,67
40.0067030,-79.5889280,290.9,2018-07-27T10:40:29Z,67
40.0066750,-79.5889310,291.0,2018-07-27T10:40:31Z,67
40.0066470,-79.5889250,290.9,2018-07-27T10:40:33Z,67
40.0066120,-79.5889110,290.6,2018-07-27T10:40:36Z,67
40.0065840,-79.5889060,290.3,2018-07-27T10:40:38Z,67
40.0065480,-79.5889010,290.0,2018-07-27T10:40:41Z,67
40.0065150,-79.5888990,289.8,2018-07-27T10:40:44Z,67
40.0064750,-79.5888970,289.4,2018-07-27T10:40:47Z,67
40.0064470,-79.5888950,289.2,2018-07-27T10:40:49Z,67
40.0064180,-79.5889140,289.0,2018-07-27T10:40:52Z,67
40.0063810,-79.5889180,288.8,2018-07-27T10:40:55Z,67
40.0063540,-79.5889130,288.7,2018-07-27T10:40:57Z,67
40.0063220,-79.5889140,288.6,2018-07-27T10:41:00Z,67
40.0062880,-79.5889040,288.6,2018-07-27T10:41:03Z,67
40.0062600,-79.5888980,288.5,2018-07-27T10:41:05Z,67
40.0062310,-79.5888930,288.4,2018-07-27T10:41:07Z,67
40.0062020,-79.5888890,288.4,2018-07-27T10:41:09Z,67
40.0061710,-79.5888930,288.3,2018-07-27T10:41:11Z,67
40.0061410,-79.5888950,288.2,2018-07-27T10:41:13Z,67
40.0061120,-79.5888930,288.2,2018-07-27T10:41:15Z,67
40.0060780,-79.5888900,288.1,2018-07-27T10:41:17Z,67
40.0060460,-79.5888840,288.1,2018-07-27T10:41:19Z,67
40.0060190,-79.5888840,288.0,2018-07-27T10:41:21Z,67
40.0059910,-79.5888810,288.0,2018-07-27T10:41:23Z,67
40.0059610,-79.5888800,288.0,2018-07-27T10:41:25Z,65
40.0059230,-79.5888730,287.9,2018-07-27T10:41:28Z,68
40.0058850,-79.5888700,287.9,2018-07-27T10:41:31Z,68
40.0058490,-79.5888740,287.8,2018-07-27T10:41:34Z,67
40.0058210,-79.5888740,287.8,2018-07-27T10:41:36Z,66
40.0057940,-79.5888790,287.8,2018-07-27T10:41:38Z,66
40.0057580,-79.5888920,287.7,2018-07-27T10:41:41Z,66
40.0057220,-79.5889010,287.7,2018-07-27T10:41:44Z,66
40.0056910,-79.5889080,287.7,2018-07-27T10:41:46Z,67
40.0056630,-79.5889150,287.7,2018-07-27T10:41:48Z,67
40.0056230,-79.5889110,287.7,2018-07-27T10:41:51Z,68
40.0055850,-79.5889250,287.7,2018-07-27T10:41:54Z,69
40.0055510,-79.5889300,287.7,2018-07-27T10:41:57Z,70
40.0055190,-79.5889310,287.8,2018-07-27T10:42:00Z,71
40.0054860,-79.5889360,287.8,2018-07-27T10:42:03Z,72
40.0054520,-79.5889290,287.8,2018-07-27T10:42:07Z,74
40.0054200,-79.5889120,287.8,2018-07-27T10:42:10Z,74
40.0053850,-79.5889020,287.8,2018-07-27T10:42:13Z,74
40.0053480,-79.5889020,287.9,2018-07-27T10:42:15Z,74
40.0053080,-79.5889040,287.9,2018-07-27T10:42:17Z,74
40.0052690,-79.5888990,287.9,2018-07-27T10:42:20Z,74
40.0052270,-79.5888900,287.9,2018-07-27T10:42:23Z,74
40.0051870,-79.5888710,287.9,2018-07-27T10:42:25Z,74
40.0051560,-79.5888520,287.9,2018-07-27T10:42:27Z,75
40.0051280,-79.5888300,287.9,2018-07-27T10:42:29Z,76
40.0050980,-79.5888110,287.9,2018-07-27T10:42:31Z,77
40.0050650,-79.5888030,287.9,2018-07-27T10:42:34Z,78
40.0050350,-79.5887980,288.0,2018-07-27T10:42:38Z,81
40.0049980,-79.5887920,288.0,2018-07-27T10:42:41Z,82
40.0049630,-79.5887890,288.0,2018-07-27T10:42:44Z,82
40.0049350,-79.5887770,288.0,2018-07-27T10:42:46Z,81
40.0049010,-79.5887460,288.0,2018-07-27T10:42:48Z,81
40.0048850,-79.5887170,288.0,2018-07-27T10:42:50Z,79
40.0048590,-79.5886910,288.0,2018-07-27T10:42:53Z,79
40.0048430,-79.5886610,288.0,2018-07-27T10:42:55Z,78
40.0048360,-79.5886230,288.0,2018-07-27T10:42:57Z,77
40.0048400,-79.5885850,288.0,2018-07-27T10:42:59Z,76
40.0048400,-79.5885330,288.0,2018-07-27T10:43:02Z,74
40.0048400,-79.5884790,288.0,2018-07-27T10:43:04Z,74
40.0048420,-79.5884320,288.0,2018-07-27T10:43:06Z,74
40.0048430,-79.5883950,288.0,2018-07-27T10:43:09Z,74
40.0048370,-79.5883550,288.0,2018-07-27T10:43:12Z,73
40.0048290,-79.5883180,288.0,2018-07-27T10:43:14Z,75
40.0048310,-79.5882760,288.0,2018-07-27T10:43:17Z,78
40.0048270,-79.5882400,288.0,2018-07-27T10:43:19Z,78
40.0048250,-79.5881920,288.0,2018-07-27T10:43:21Z,79
40.0048280,-79.5881480,288.0,2018-07-27T10:43:23Z,80
40.0048300,-79.5881110,288.0,2018-07-27T10:43:26Z,81
40.0048290,-79.5880570,288.0,2018-07-27T10:43:29Z,80
40.0048330,-79.5880140,288.0,2018-07-27T10:43:31Z,79
40.0048380,-79.5879730,288.0,2018-07-27T10:43:33Z,78
40.0048440,-79.5879350,288.0,2018-07-27T10:43:35Z,78
40.0048460,-79.5878920,288.0,2018-07-27T10:43:37Z,77
40.0048500,-79.5878540,288.0,2018-07-27T10:43:39Z,77
40.0048550,-79.5878160,288.0,2018-07-27T10:43:41Z,77
40.0048330,-79.5877810,288.1,2018-07-27T10:43:44Z,78
40.0048010,-79.5877760,288.1,2018-07-27T10:43:46Z,79
40.0047670,-79.5877780,288.2,2018-07-27T10:43:48Z,78
40.0047290,-79.5877850,288.2,2018-07-27T10:43:51Z,80
40.0046960,-79.5877890,288.3,2018-07-27T10:43:54Z,82
40.0046670,-79.5877890,288.3,2018-07-27T10:43:56Z,84
40.0046380,-79.5877860,288.4,2018-07-27T10:43:58Z,85
40.0046090,-79.5877830,288.4,2018-07-27T10:44:02Z,85
40.0045740,-79.5877910,288.5,2018-07-27T10:44:05Z,84
40.0045440,-79.5877980,288.5,2018-07-27T10:44:07Z,83
40.0045160,-79.5878000,288.6,2018-07-27T10:44:09Z,82
40.0044790,-79.5877940,288.6,2018-07-27T10:44:11Z,81
40.0044440,-79.5877910,288.7,2018-07-27T10:44:13Z,81
