Time (secs),Lat,Lon,Elev,Heart_Rate (bpm),HRmax (bpm),HRmin (bpm)
0,40.0073200,-79.5888440,290.0,75,122,112
0,40.0073200,-79.5888440,290.0,75,122,112
7,40.0074270,-79.5888750,289.9,75,122,112
14,40.0075040,-79.5889100,289.8,75,122,112
21,40.0075040,-79.5889100,289.8,75,122,112
24,40.0075800,-79.5889000,289.7,75,122,112
29,40.0077000,-79.5889050,289.5,75,122,112
34,40.0078190,-79.5889470,289.3,75,122,112
41,40.0078830,-79.5889440,289.2,75,122,112
48,40.0079480,-79.5889420,289.1,75,122,112
58,40.0080120,-79.5889390,289.0,79,122,112
58,40.0080760,-79.5889360,288.9,79,122,112
63,40.0081940,-79.5889740,288.6,79,122,112
68,40.0082900,-79.5889700,288.4,79,122,112
83,40.0084300,-79.5889500,288.1,79,122,112
88,40.0085200,-79.5889200,288.2,79,122,112
97,40.0085700,-79.5888100,288.3,79,122,112
106,40.0086800,-79.5888060,288.6,79,122,112
116,40.0088160,-79.5888060,288.8,79,122,112
118,40.0088160,-79.5888060,288.8,81,122,112
121,40.0088160,-79.5888060,288.8,81,122,112
126,40.0089150,-79.5888000,289.0,81,122,112
131,40.0089840,-79.5888060,289.0,81,122,112
136,40.0090370,-79.5887900,289.0,81,122,112
141,40.0091250,-79.5888000,289.0,81,122,112
146,40.0092160,-79.5887900,289.0,81,122,112
151,40.0092700,-79.5887800,289.0,81,122,112
161,40.0094150,-79.5888060,289.2,81,122,112
166,40.0094900,-79.5888300,289.3,81,122,112
176,40.0096240,-79.5887800,289.7,81,122,112
178,40.0096240,-79.5887800,289.7,103,122,112
181,40.0096970,-79.5887800,289.8,103,122,112
191,40.0097730,-79.5888000,290.0,103,122,112
196,40.0098760,-79.5888060,290.0,103,122,112
201,40.0099640,-79.5887760,290.0,103,122,112
205,40.0099640,-79.5887760,290.0,103,122,112
207,40.0100360,-79.5887600,290.0,103,122,112
212,40.0101650,-79.5887470,290.0,103,122,112
219,40.0102130,-79.5887500,290.0,103,122,112
224,40.0102620,-79.5887520,290.0,103,122,112
229,40.0103100,-79.5887550,290.0,103,122,112
238,40.0103580,-79.5887570,290.0,88,122,112
239,40.0104060,-79.5887600,290.0,88,122,112
244,40.0104800,-79.5887600,290.1,88,122,112
249,40.0105480,-79.5887150,290.1,88,122,112
256,40.0106740,-79.5887400,290.2,88,122,112
264,40.0108360,-79.5887480,290.2,88,122,112
269,40.0109000,-79.5887450,290.3,88,122,112
274,40.0109630,-79.5887430,290.4,88,122,112
284,40.0110270,-79.5887400,290.5,88,122,112
289,40.0110900,-79.5887380,290.7,88,122,112
294,40.0111530,-79.5887350,290.9,88,122,112
298,40.0112170,-79.5887330,291.1,83,122,112
299,40.0112800,-79.5887300,291.1,83,122,112
308,40.0114660,-79.5887150,291.4,83,122,112
