Time (secs),Lat,Lon,Elev,Heart_Rate (bpm),HRmax (bpm),HRmin (bpm)
0,40.0070900,-79.5888300,290.3,69,122,112
1,40.0070900,-79.5888300,290.3,69,122,112
2,40.0070900,-79.5888300,290.3,68,122,112
3,40.0070900,-79.5888300,290.3,68,122,112
4,40.0071020,-79.5888310,290.3,68,122,112
5,40.0071140,-79.5888290,290.3,69,122,112
6,40.0071300,-79.5888290,290.3,69,122,112
7,40.0071450,-79.5888310,290.3,70,122,112
8,40.0071590,-79.5888340,290.2,70,122,112
9,40.0071730,-79.5888390,290.2,70,122,112
10,40.0071840,-79.5888410,290.2,70,122,112
11,40.0071930,-79.5888400,290.2,70,122,112
12,40.0072050,-79.5888370,290.2,70,122,112
13,40.0072050,-79.5888370,290.2,70,122,112
14,40.0072210,-79.5888400,290.2,70,122,112
15,40.0072340,-79.5888450,290.1,71,122,112
16,40.0072480,-79.5888490,290.1,71,122,112
17,40.0072620,-79.5888480,290.1,71,122,112
18,40.0072770,-79.5888470,290.1,71,122,112
19,40.0072900,-79.5888450,290.1,71,122,112
20,40.0073040,-79.5888450,290.1,72,122,112
21,40.0073220,-79.5888420,290.0,72,122,112
22,40.0073360,-79.5888420,290.0,72,122,112
23,40.0073480,-79.5888450,290.0,71,122,112
24,40.0073600,-79.5888520,290.0,71,122,112
25,40.0073710,-79.5888570,290.0,71,122,112
26,40.0073820,-79.5888600,290.0,70,122,112
27,40.0074030,-79.5888650,289.9,69,122,112
28,40.0074280,-79.5888740,289.9,69,122,112
29,40.0074480,-79.5888840,289.9,69,122,112
30,40.0074670,-79.5888910,289.9,69,122,112
31,40.0074850,-79.5888980,289.8,69,122,112
32,40.0074960,-79.5889040,289.8,70,122,112
33,40.0074960,-79.5889040,289.8,70,122,112
34,40.0074960,-79.5889040,289.8,71,122,112
35,40.0074960,-79.5889040,289.8,71,122,112
36,40.0074960,-79.5889040,289.8,71,122,112
37,40.0074960,-79.5889040,289.8,71,122,112
38,40.0074960,-79.5889040,289.8,70,122,112
39,40.0074960,-79.5889040,289.8,70,122,112
40,40.0075090,-79.5889010,289.8,70,122,112
41,40.0075220,-79.5888990,289.8,70,122,112
42,40.0075410,-79.5889000,289.8,70,122,112
