Time (secs),Lat,Lon,Elev,Heart_Rate (bpm),HRmax (bpm),HRmin (bpm)
0,39.9084500,-79.7122200,323.8,83,122,112
0,39.9084500,-79.7122200,323.8,83,122,112
3,39.9084500,-79.7122200,323.8,83,122,112
7,39.9083940,-79.7121400,323.7,83,122,112
15,39.9083400,-79.7120600,323.7,83,122,112
20,39.9083250,-79.7119750,323.8,83,122,112
25,39.9083180,-79.7119000,323.7,83,122,112
30,39.9083250,-79.7117840,323.6,83,122,112
37,39.9083500,-79.7116900,323.7,83,122,112
42,39.9083700,-79.7116000,323.8,83,122,112
48,39.9084000,-79.7115500,323.7,83,122,112
53,39.9084400,-79.7114700,323.6,83,122,112
58,39.9084800,-79.7114100,323.7,83,122,112
67,39.9085540,-79.7112800,323.5,83,122,112
73,39.9086150,-79.7111800,323.6,83,122,112
82,39.9086760,-79.7110700,323.6,83,122,112
87,39.9087140,-79.7109760,323.9,83,122,112
97,39.9087800,-79.7108700,323.6,83,122,112
102,39.9088050,-79.7108300,323.7,79,122,112
102,39.9088300,-79.7107900,323.7,79,122,112
107,39.9088860,-79.7107200,323.7,79,122,112
117,39.9089500,-79.7106200,323.8,79,122,112
119,39.9089500,-79.7106200,323.8,84,122,112
122,39.9090300,-79.7105600,323.8,84,122,112
127,39.9090840,-79.7105500,323.7,84,122,112
134,39.9091870,-79.7105200,323.6,84,122,112
139,39.9092830,-79.7105300,323.6,84,122,112
149,39.9093860,-79.7106200,323.9,84,122,112
154,39.9094500,-79.7106900,323.6,84,122,112
160,39.9095040,-79.7108100,323.8,84,122,112
165,39.9095200,-79.7108700,323.4,84,122,112
174,39.9095340,-79.7110060,323.6,84,122,112
179,39.9095340,-79.7110060,323.6,88,122,112
181,39.9094960,-79.7111500,323.7,88,122,112
191,39.9094350,-79.7112800,323.8,88,122,112
196,39.9093860,-79.7113700,323.7,88,122,112
201,39.9093400,-79.7114260,323.7,88,122,112
206,39.9093400,-79.7114260,323.7,88,122,112
211,39.9092640,-79.7115550,323.8,88,122,112
216,39.9092180,-79.7116240,323.8,88,122,112
224,39.9091500,-79.7117300,323.7,88,122,112
229,39.9091030,-79.7117900,323.7,88,122,112
234,39.9090580,-79.7118700,323.8,88,122,112
238,39.9090580,-79.7118700,323.8,91,122,112
239,39.9090580,-79.7118700,323.8,91,122,112
244,39.9089780,-79.7120000,323.7,91,122,112
249,39.9089280,-79.7120700,323.8,91,122,112
253,39.9088600,-79.7121660,323.8,91,122,112
261,39.9087750,-79.7122500,323.7,91,122,112
271,39.9086700,-79.7123100,323.9,91,122,112
276,39.9086070,-79.7123300,323.8,91,122,112
281,39.9085040,-79.7123200,323.8,91,122,112
286,39.9084550,-79.7122800,323.8,91,122,112
296,39.9083630,-79.7121900,323.7,91,122,112
298,39.9083630,-79.7121900,323.7,94,122,112
301,39.9083140,-79.7121050,323.6,94,122,112
306,39.9082640,-79.7120200,323.7,94,122,112
311,39.9082400,-79.7119100,323.7,94,122,112
316,39.9082530,-79.7117800,323.7,94,122,112
325,39.9083000,-79.7116850,323.8,94,122,112
330,39.9083400,-79.7116000,323.7,94,122,112
335,39.9083900,-79.7115100,323.6,94,122,112
340,39.9084300,-79.7114400,323.6,94,122,112
345,39.9084740,-79.7113500,323.8,94,122,112
350,39.9085300,-79.7112400,323.7,94,122,112
355,39.9085700,-79.7112050,323.7,94,122,112
358,39.9085700,-79.7112050,323.7,96,122,112
360,39.9086000,-79.7111700,323.7,96,122,112
365,39.9086570,-79.7110750,323.6,96,122,112
372,39.9087220,-79.7109700,323.6,96,122,112
378,39.9087870,-79.7108800,323.6,96,122,112
383,39.9088400,-79.7107850,323.6,96,122,112
388,39.9088970,-79.7107200,323.7,96,122,112
393,39.9089550,-79.7106400,323.8,96,122,112
400,39.9090460,-79.7105700,323.9,96,122,112
405,39.9091150,-79.7105400,323.6,96,122,112
410,39.9091760,-79.7105400,323.7,96,122,112
415,39.9092300,-79.7105500,323.6,96,122,112
418,39.9092300,-79.7105500,323.6,94,122,112
420,39.9092860,-79.7105600,323.8,94,122,112
428,39.9093780,-79.7106200,323.9,94,122,112
432,39.9094430,-79.7106900,323.6,94,122,112
441,39.9095080,-79.7108800,323.5,94,122,112
446,39.9095340,-79.7109700,323.6,94,122,112
451,39.9095420,-79.7110750,322.4,94,122,112
456,39.9095040,-79.7111800,323.3,94,122,112
466,39.9094200,-79.7113300,323.7,94,122,112
471,39.9093500,-79.7114000,323.7,94,122,112
477,39.9092900,-79.7114900,323.8,94,122,112
478,39.9092900,-79.7114900,323.8,98,122,112
482,39.9092300,-79.7115800,323.8,98,122,112
492,39.9091760,-79.7116800,323.7,98,122,112
497,39.9091300,-79.7117540,323.7,98,122,112
504,39.9090600,-79.7118900,323.8,98,122,112
510,39.9090040,-79.7119900,323.7,98,122,112
513,39.9090040,-79.7119900,323.7,98,122,112
518,39.9089500,-79.7120700,323.7,98,122,112
523,39.9089130,-79.7121400,323.7,98,122,112
528,39.9088400,-79.7122400,323.7,98,122,112
533,39.9087680,-79.7123000,323.9,98,122,112
539,39.9087680,-79.7123000,323.9,95,122,112
541,39.9086650,-79.7123400,323.9,95,122,112
546,39.9085960,-79.7123400,323.7,95,122,112
551,39.9085100,-79.7123200,323.8,95,122,112
556,39.9084300,-79.7122700,323.7,95,122,112
562,39.9083330,-79.7121900,323.7,95,122,112
567,39.9082760,-79.7121000,323.9,95,122,112
572,39.9082450,-79.7120100,323.8,95,122,112
577,39.9082570,-79.7118600,323.8,95,122,112
582,39.9082760,-79.7117600,323.7,95,122,112
587,39.9083300,-79.7116500,323.8,95,122,112
595,39.9084140,-79.7114700,323.6,95,122,112
599,39.9084310,-79.7114400,323.6,104,122,112
600,39.9084470,-79.7114100,323.9,104,122,112
607,39.9085160,-79.7113000,324.0,104,122,112
612,39.9085600,-79.7112100,323.7,104,122,112
617,39.9086040,-79.7111300,324.1,104,122,112
620,39.9086040,-79.7111300,324.1,104,122,112
626,39.9086840,-79.7109900,323.9,104,122,112
631,39.9087330,-79.7109300,323.7,104,122,112
636,39.9088130,-79.7108300,323.7,104,122,112
641,39.9088930,-79.7107360,323.7,104,122,112
646,39.9089200,-79.7107120,323.7,104,122,112
652,39.9089460,-79.7106890,323.8,104,122,112
658,39.9089720,-79.7106650,323.7,104,122,112
659,39.9089990,-79.7106410,323.8,108,122,112
660,39.9090250,-79.7106170,323.8,108,122,112
665,39.9092000,-79.7105500,323.7,108,122,112
670,39.9092940,-79.7105560,323.8,108,122,112
679,39.9094160,-79.7106700,323.9,108,122,112
684,39.9094800,-79.7107800,323.7,108,122,112
691,39.9094960,-79.7108900,323.7,108,122,112
700,39.9095040,-79.7110900,323.8,108,122,112
709,39.9094600,-79.7112400,323.5,108,122,112
714,39.9093800,-79.7113600,323.7,108,122,112
718,39.9093800,-79.7113600,323.7,108,122,112
720,39.9093800,-79.7113600,323.7,115,122,112
723,39.9092450,-79.7115550,323.8,115,122,112
728,39.9091840,-79.7116600,323.7,115,122,112
733,39.9091220,-79.7117500,323.7,115,122,112
738,39.9090650,-79.7118150,323.7,115,122,112
743,39.9090200,-79.7118760,323.8,115,122,112
748,39.9089660,-79.7119500,323.6,115,122,112
753,39.9089160,-79.7120200,323.7,115,122,112
758,39.9088630,-79.7121100,323.7,115,122,112
763,39.9087940,-79.7122200,323.7,115,122,112
768,39.9087070,-79.7122960,323.9,115,122,112
773,39.9086070,-79.7123260,323.8,115,122,112
778,39.9085430,-79.7123260,323.8,115,122,112
779,39.9085430,-79.7123260,323.8,119,122,112
783,39.9084700,-79.7122960,323.7,119,122,112
788,39.9083980,-79.7122400,323.6,119,122,112
793,39.9083480,-79.7121700,323.7,119,122,112
798,39.9083100,-79.7120900,323.6,119,122,112
803,39.9082760,-79.7119900,323.7,119,122,112
808,39.9082600,-79.7118900,323.7,119,122,112
813,39.9082640,-79.7118000,323.8,119,122,112
818,39.9082900,-79.7116900,323.8,119,122,112
823,39.9083560,-79.7115800,323.8,119,122,112
828,39.9084360,-79.7114640,323.6,119,122,112
831,39.9084360,-79.7114640,323.6,119,122,112
836,39.9085400,-79.7113100,323.7,119,122,112
839,39.9085400,-79.7113100,323.7,127,122,112
841,39.9085800,-79.7112500,323.4,127,122,112
846,39.9086270,-79.7111800,323.7,127,122,112
851,39.9086720,-79.7111100,323.6,127,122,112
856,39.9087140,-79.7110440,323.6,127,122,112
861,39.9087500,-79.7109700,323.6,127,122,112
866,39.9087870,-79.7109000,323.6,127,122,112
871,39.9088500,-79.7107850,323.7,127,122,112
876,39.9089500,-79.7106550,323.8,127,122,112
881,39.9090500,-79.7105800,323.6,127,122,112
887,39.9091570,-79.7105400,323.7,127,122,112
892,39.9092400,-79.7105400,323.6,127,122,112
899,39.9092400,-79.7105400,323.6,127,122,112
900,39.9092660,-79.7105590,323.7,127,122,112
905,39.9093970,-79.7106550,323.9,127,122,112
910,39.9094430,-79.7107200,323.8,127,122,112
915,39.9094900,-79.7108100,323.8,127,122,112
920,39.9095150,-79.7109450,323.6,127,122,112
