Time (secs),Lat,Lon,Elev,Heart_Rate (bpm),HRmax (bpm),HRmin (bpm)
0,40.0071420,-79.5889610,290.3,75,122,112
1,40.0071420,-79.5889610,290.3,75,122,112
2,40.0071550,-79.5889610,290.2,76,122,112
3,40.0071680,-79.5889610,290.2,76,122,112
4,40.0071810,-79.5889610,290.2,76,122,112
5,40.0071940,-79.5889610,290.2,76,122,112
6,40.0072080,-79.5889620,290.2,75,122,112
7,40.0072220,-79.5889630,290.2,75,122,112
8,40.0072370,-79.5889640,290.1,74,122,112
9,40.0072530,-79.5889670,290.1,74,122,112
10,40.0072710,-79.5889730,290.1,74,122,112
11,40.0072920,-79.5889780,290.1,74,122,112
12,40.0073080,-79.5889820,290.1,74,122,112
13,40.0073250,-79.5889880,290.0,74,122,112
14,40.0073430,-79.5889940,290.0,74,122,112
15,40.0073610,-79.5889980,290.0,74,122,112
16,40.0073780,-79.5889990,290.0,73,122,112
17,40.0073950,-79.5889960,290.0,73,122,112
18,40.0074120,-79.5889900,289.9,73,122,112
19,40.0074250,-79.5889830,289.9,74,122,112
20,40.0074360,-79.5889750,289.9,75,122,112
21,40.0074360,-79.5889750,289.9,76,122,112
22,40.0074530,-79.5889690,289.9,76,122,112
23,40.0074640,-79.5889690,289.9,77,122,112
24,40.0074740,-79.5889700,289.9,77,122,112
25,40.0074850,-79.5889700,289.8,77,122,112
26,40.0074950,-79.5889710,289.8,76,122,112
27,40.0075070,-79.5889720,289.8,76,122,112
28,40.0075200,-79.5889730,289.8,76,122,112
29,40.0075380,-79.5889710,289.8,76,122,112
30,40.0075590,-79.5889620,289.8,76,122,112
31,40.0075850,-79.5889540,289.7,76,122,112
32,40.0076090,-79.5889510,289.7,75,122,112
33,40.0076300,-79.5889540,289.6,76,122,112
34,40.0076500,-79.5889610,289.6,75,122,112
35,40.0076680,-79.5889680,289.6,75,122,112
36,40.0076810,-79.5889720,289.6,75,122,112
37,40.0076940,-79.5889730,289.5,75,122,112
38,40.0077070,-79.5889710,289.5,75,122,112
39,40.0077190,-79.5889660,289.5,76,122,112
40,40.0077300,-79.5889640,289.5,76,122,112
41,40.0077420,-79.5889630,289.5,76,122,112
42,40.0077540,-79.5889650,289.4,75,122,112
43,40.0077540,-79.5889650,289.4,75,122,112
44,40.0077680,-79.5889660,289.4,75,122,112
45,40.0077810,-79.5889620,289.4,75,122,112
46,40.0077950,-79.5889620,289.4,75,122,112
47,40.0078090,-79.5889650,289.4,75,122,112
48,40.0078220,-79.5889670,289.3,75,122,112
49,40.0078350,-79.5889720,289.3,75,122,112
50,40.0078470,-79.5889760,289.3,75,122,112
51,40.0078570,-79.5889820,289.3,75,122,112
52,40.0078680,-79.5889880,289.3,75,122,112
53,40.0078790,-79.5889920,289.2,75,122,112
54,40.0078920,-79.5889920,289.2,75,122,112
55,40.0078920,-79.5889920,289.2,76,122,112
56,40.0079110,-79.5889850,289.2,76,122,112
57,40.0079200,-79.5889800,289.2,76,122,112
58,40.0079300,-79.5889760,289.1,76,122,112
59,40.0079390,-79.5889730,289.1,76,122,112
60,40.0079500,-79.5889710,289.1,77,122,112
61,40.0079610,-79.5889700,289.1,77,122,112
62,40.0079730,-79.5889660,289.1,77,122,112
63,40.0079850,-79.5889590,289.1,77,122,112
64,40.0079970,-79.5889540,289.0,78,122,112
65,40.0080100,-79.5889520,289.0,77,122,112
66,40.0080260,-79.5889530,289.0,77,122,112
67,40.0080470,-79.5889600,288.9,77,122,112
68,40.0080680,-79.5889670,288.9,77,122,112
69,40.0080890,-79.5889780,288.8,76,122,112
70,40.0081070,-79.5889870,288.8,76,122,112
71,40.0081250,-79.5889950,288.8,76,122,112
72,40.0081430,-79.5890020,288.7,76,122,112
73,40.0081590,-79.5890060,288.7,76,122,112
