Time (secs),Lat,Lon,Elev,Heart_Rate (bpm),HRmax (bpm),HRmin (bpm)
0,40.0071090,-79.5888550,290.3,77,122,112
1,40.0071220,-79.5888560,290.3,77,122,112
2,40.0071360,-79.5888560,290.3,77,122,112
3,40.0071480,-79.5888560,290.2,77,122,112
4,40.0071610,-79.5888560,290.2,77,122,112
5,40.0071740,-79.5888570,290.2,77,122,112
6,40.0071880,-79.5888580,290.2,77,122,112
7,40.0072010,-79.5888580,290.2,77,122,112
8,40.0072150,-79.5888590,290.2,77,122,112
9,40.0072310,-79.5888600,290.1,77,122,112
10,40.0072450,-79.5888620,290.1,77,122,112
11,40.0072590,-79.5888640,290.1,77,122,112
12,40.0072760,-79.5888660,290.1,77,122,112
13,40.0072880,-79.5888700,290.1,78,122,112
14,40.0072990,-79.5888750,290.1,78,122,112
15,40.0073090,-79.5888810,290.1,78,122,112
16,40.0073190,-79.5888850,290.0,78,122,112
17,40.0073290,-79.5888880,290.0,78,122,112
18,40.0073290,-79.5888880,290.0,78,122,112
19,40.0073440,-79.5888930,290.0,79,122,112
20,40.0073440,-79.5888930,290.0,79,122,112
21,40.0073630,-79.5888960,290.0,79,122,112
22,40.0073740,-79.5888950,290.0,79,122,112
23,40.0073860,-79.5888940,290.0,79,122,112
24,40.0074010,-79.5888940,289.9,79,122,112
25,40.0074140,-79.5888960,289.9,79,122,112
26,40.0074290,-79.5888960,289.9,79,122,112
27,40.0074400,-79.5888960,289.9,79,122,112
28,40.0074530,-79.5888950,289.9,80,122,112
29,40.0074650,-79.5888940,289.9,80,122,112
30,40.0074780,-79.5888930,289.9,80,122,112
31,40.0074910,-79.5888940,289.8,79,122,112
32,40.0075060,-79.5888950,289.8,79,122,112
33,40.0075150,-79.5888960,289.8,79,122,112
34,40.0075150,-79.5888960,289.8,79,122,112
35,40.0075340,-79.5888990,289.8,79,122,112
36,40.0075470,-79.5888990,289.8,79,122,112
37,40.0075580,-79.5888980,289.8,78,122,112
38,40.0075680,-79.5888980,289.7,78,122,112
39,40.0075810,-79.5889000,289.7,78,122,112
40,40.0075960,-79.5889020,289.7,78,122,112
41,40.0076100,-79.5889040,289.7,78,122,112
42,40.0076250,-79.5889060,289.6,78,122,112
43,40.0076380,-79.5889080,289.6,78,122,112
44,40.0076380,-79.5889080,289.6,78,122,112
45,40.0076610,-79.5889100,289.6,78,122,112
46,40.0076730,-79.5889140,289.6,78,122,112
47,40.0076870,-79.5889200,289.5,78,122,112
48,40.0077020,-79.5889250,289.5,78,122,112
49,40.0077150,-79.5889270,289.5,78,122,112
50,40.0077150,-79.5889270,289.5,78,122,112
51,40.0077410,-79.5889280,289.5,78,122,112
52,40.0077530,-79.5889280,289.4,78,122,112
53,40.0077650,-79.5889280,289.4,77,122,112
54,40.0077790,-79.5889280,289.4,77,122,112
55,40.0077930,-79.5889270,289.4,77,122,112
56,40.0078070,-79.5889260,289.3,77,122,112
57,40.0078190,-79.5889270,289.3,78,122,112
58,40.0078330,-79.5889270,289.3,79,122,112
59,40.0078430,-79.5889270,289.3,79,122,112
60,40.0078530,-79.5889260,289.3,79,122,112
61,40.0078630,-79.5889250,289.3,78,122,112
62,40.0078740,-79.5889230,289.2,78,122,112
63,40.0078840,-79.5889220,289.2,78,122,112
64,40.0078970,-79.5889200,289.2,78,122,112
65,40.0079120,-79.5889190,289.2,78,122,112
66,40.0079250,-79.5889170,289.2,78,122,112
67,40.0079380,-79.5889180,289.1,78,122,112
68,40.0079510,-79.5889190,289.1,78,122,112
69,40.0079630,-79.5889220,289.1,78,122,112
70,40.0079760,-79.5889260,289.1,78,122,112
71,40.0079880,-79.5889300,289.0,78,122,112
72,40.0080000,-79.5889340,289.0,78,122,112
73,40.0080120,-79.5889360,289.0,78,122,112
74,40.0080240,-79.5889350,289.0,78,122,112
75,40.0080370,-79.5889340,289.0,78,122,112
76,40.0080500,-79.5889330,288.9,80,122,112
77,40.0080640,-79.5889330,288.9,81,122,112
