Time (secs),Lat,Lon,Elev,Heart_Rate (bpm),HRmax (bpm),HRmin (bpm)
0,40.0071650,-79.5888970,290.2,77,122,112
1,40.0071650,-79.5888970,290.2,77,122,112
2,40.0071650,-79.5888970,290.2,77,122,112
3,40.0071790,-79.5888900,290.2,78,122,112
4,40.0071900,-79.5888860,290.2,78,122,112
5,40.0072030,-79.5888840,290.2,78,122,112
6,40.0072170,-79.5888830,290.2,78,122,112
7,40.0072290,-79.5888850,290.2,78,122,112
8,40.0072400,-79.5888890,290.1,78,122,112
9,40.0072510,-79.5888930,290.1,78,122,112
10,40.0072630,-79.5888970,290.1,78,122,112
11,40.0072730,-79.5889000,290.1,77,122,112
12,40.0072840,-79.5889010,290.1,77,122,112
13,40.0072970,-79.5889010,290.1,77,122,112
14,40.0073080,-79.5889030,290.1,77,122,112
15,40.0073080,-79.5889030,290.1,77,122,112
16,40.0073240,-79.5889090,290.0,77,122,112
17,40.0073330,-79.5889110,290.0,77,122,112
18,40.0073330,-79.5889110,290.0,78,122,112
19,40.0073490,-79.5889120,290.0,78,122,112
20,40.0073600,-79.5889130,290.0,78,122,112
21,40.0073690,-79.5889140,290.0,78,122,112
22,40.0073690,-79.5889140,290.0,78,122,112
23,40.0073880,-79.5889230,290.0,78,122,112
24,40.0073990,-79.5889300,289.9,78,122,112
25,40.0074090,-79.5889360,289.9,78,122,112
26,40.0074190,-79.5889410,289.9,78,122,112
27,40.0074310,-79.5889430,289.9,77,122,112
28,40.0074450,-79.5889410,289.9,77,122,112
29,40.0074610,-79.5889370,289.9,76,122,112
30,40.0074750,-79.5889360,289.9,76,122,112
31,40.0074880,-79.5889360,289.8,76,122,112
32,40.0075030,-79.5889350,289.8,76,122,112
33,40.0075180,-79.5889320,289.8,76,122,112
34,40.0075350,-79.5889280,289.8,76,122,112
35,40.0075500,-79.5889260,289.8,76,122,112
36,40.0075630,-79.5889250,289.7,76,122,112
37,40.0075780,-79.5889250,289.7,76,122,112
38,40.0075890,-79.5889260,289.7,75,122,112
39,40.0075890,-79.5889260,289.7,75,122,112
40,40.0075890,-79.5889260,289.7,75,122,112
41,40.0075820,-79.5889140,289.7,75,122,112
42,40.0075660,-79.5889130,289.7,75,122,112
43,40.0075470,-79.5889140,289.8,75,122,112
44,40.0075330,-79.5889170,289.8,75,122,112
45,40.0075220,-79.5889200,289.8,75,122,112
46,40.0075090,-79.5889240,289.8,75,122,112
47,40.0074960,-79.5889270,289.8,75,122,112
48,40.0074820,-79.5889280,289.8,76,122,112
49,40.0074680,-79.5889270,289.9,77,122,112
50,40.0074560,-79.5889240,289.9,78,122,112
51,40.0074420,-79.5889230,289.9,78,122,112
52,40.0074310,-79.5889260,289.9,78,122,112
53,40.0074200,-79.5889280,289.9,79,122,112
54,40.0074080,-79.5889290,289.9,79,122,112
55,40.0073950,-79.5889270,289.9,78,122,112
56,40.0073810,-79.5889250,290.0,78,122,112
57,40.0073650,-79.5889270,290.0,78,122,112
58,40.0073500,-79.5889300,290.0,78,122,112
59,40.0073350,-79.5889360,290.0,78,122,112
60,40.0073220,-79.5889420,290.0,78,122,112
61,40.0073080,-79.5889480,290.0,77,122,112
62,40.0072950,-79.5889520,290.1,78,122,112
63,40.0072850,-79.5889520,290.1,79,122,112
64,40.0072750,-79.5889490,290.1,79,122,112
65,40.0072640,-79.5889440,290.1,79,122,112
66,40.0072540,-79.5889390,290.1,79,122,112
67,40.0072420,-79.5889330,290.1,79,122,112
68,40.0072300,-79.5889280,290.1,78,122,112
69,40.0072170,-79.5889250,290.2,78,122,112
70,40.0072030,-79.5889260,290.2,77,122,112
71,40.0071890,-79.5889300,290.2,77,122,112
72,40.0071760,-79.5889410,290.2,77,122,112
73,40.0071670,-79.5889540,290.2,77,122,112
74,40.0071620,-79.5889640,290.2,77,122,112
75,40.0071600,-79.5889760,290.2,77,122,112
76,40.0071600,-79.5889910,290.2,78,122,112
77,40.0071600,-79.5889910,290.2,79,122,112
78,40.0071620,-79.5890060,290.2,80,122,112
79,40.0071620,-79.5890060,290.2,81,122,112
80,40.0071690,-79.5890160,290.2,80,122,112
81,40.0071690,-79.5890160,290.2,81,122,112
82,40.0071800,-79.5890310,290.2,83,122,112
83,40.0071800,-79.5890310,290.2,84,122,112
84,40.0071800,-79.5890310,290.2,85,122,112
85,40.0071750,-79.5890150,290.2,86,122,112
86,40.0071750,-79.5890150,290.2,87,122,112
87,40.0071750,-79.5890150,290.2,88,122,112
88,40.0071670,-79.5890000,290.2,88,122,112
89,40.0071670,-79.5890000,290.2,88,122,112
90,40.0071670,-79.5890000,290.2,88,122,112
91,40.0071640,-79.5889840,290.2,88,122,112
92,40.0071640,-79.5889840,290.2,89,122,112
93,40.0071640,-79.5889840,290.2,89,122,112
94,40.0071640,-79.5889840,290.2,89,122,112
95,40.0071640,-79.5889840,290.2,89,122,112
96,40.0071640,-79.5889840,290.2,89,122,112
97,40.0071640,-79.5889710,290.2,89,122,112
98,40.0071640,-79.5889710,290.2,89,122,112
99,40.0071640,-79.5889710,290.2,87,122,112
100,40.0071640,-79.5889710,290.2,87,122,112
101,40.0071640,-79.5889710,290.2,86,122,112
102,40.0071640,-79.5889710,290.2,85,122,112
103,40.0071640,-79.5889710,290.2,85,122,112
104,40.0071640,-79.5889710,290.2,85,122,112
105,40.0071640,-79.5889710,290.2,85,122,112
106,40.0071640,-79.5889710,290.2,85,122,112
107,40.0071640,-79.5889710,290.2,85,122,112
108,40.0071640,-79.5889710,290.2,85,122,112
109,40.0071640,-79.5889710,290.2,85,122,112
110,40.0071640,-79.5889710,290.2,85,122,112
111,40.0071640,-79.5889710,290.2,85,122,112
112,40.0071640,-79.5889710,290.2,85,122,112
113,40.0071640,-79.5889710,290.2,85,122,112
114,40.0071640,-79.5889710,290.2,86,122,112
115,40.0071640,-79.5889710,290.2,86,122,112
116,40.0071640,-79.5889710,290.2,87,122,112
117,40.0071640,-79.5889710,290.2,87,122,112
118,40.0071640,-79.5889710,290.2,87,122,112
119,40.0071670,-79.5889540,290.2,87,122,112
120,40.0071670,-79.5889540,290.2,86,122,112
121,40.0071650,-79.5889350,290.2,86,122,112
122,40.0071650,-79.5889350,290.2,86,122,112
123,40.0071650,-79.5889350,290.2,85,122,112
124,40.0071630,-79.5889210,290.2,85,122,112
125,40.0071630,-79.5889210,290.2,84,122,112
126,40.0071630,-79.5889210,290.2,84,122,112
127,40.0071760,-79.5889150,290.2,83,122,112
128,40.0071900,-79.5889160,290.2,81,122,112
129,40.0072030,-79.5889200,290.2,81,122,112
130,40.0072170,-79.5889270,290.2,81,122,112
131,40.0072290,-79.5889320,290.2,81,122,112
132,40.0072420,-79.5889350,290.1,81,122,112
133,40.0072550,-79.5889340,290.1,80,122,112
134,40.0072670,-79.5889340,290.1,80,122,112
135,40.0072800,-79.5889340,290.1,80,122,112
136,40.0072940,-79.5889350,290.1,80,122,112
137,40.0073050,-79.5889370,290.1,79,122,112
138,40.0073160,-79.5889400,290.1,79,122,112
139,40.0073280,-79.5889430,290.0,79,122,112
140,40.0073410,-79.5889470,290.0,79,122,112
141,40.0073540,-79.5889500,290.0,78,122,112
142,40.0073670,-79.5889530,290.0,78,122,112
143,40.0073790,-79.5889560,290.0,78,122,112
144,40.0073790,-79.5889560,290.0,77,122,112
145,40.0073900,-79.5889600,290.0,76,122,112
146,40.0073900,-79.5889600,290.0,75,122,112
147,40.0073900,-79.5889600,290.0,75,122,112
148,40.0074080,-79.5889610,290.0,75,122,112
149,40.0074200,-79.5889600,289.9,74,122,112
150,40.0074310,-79.5889580,289.9,74,122,112
151,40.0074310,-79.5889580,289.9,74,122,112
152,40.0074310,-79.5889580,289.9,73,122,112
153,40.0074530,-79.5889550,289.9,73,122,112
154,40.0074640,-79.5889550,289.9,74,122,112
155,40.0074790,-79.5889550,289.9,75,122,112
156,40.0074950,-79.5889540,289.9,75,122,112
157,40.0075120,-79.5889530,289.8,75,122,112
158,40.0075260,-79.5889500,289.8,75,122,112
159,40.0075390,-79.5889460,289.8,75,122,112
160,40.0075520,-79.5889410,289.8,75,122,112
161,40.0075670,-79.5889360,289.8,75,122,112
162,40.0075800,-79.5889320,289.8,76,122,112
163,40.0075900,-79.5889300,289.8,76,122,112
164,40.0075900,-79.5889300,289.8,76,122,112
165,40.0076050,-79.5889290,289.7,76,122,112
166,40.0076170,-79.5889290,289.7,76,122,112
167,40.0076300,-79.5889270,289.7,77,122,112
168,40.0076450,-79.5889260,289.7,77,122,112
169,40.0076620,-79.5889280,289.6,77,122,112
170,40.0076750,-79.5889300,289.6,77,122,112
171,40.0076860,-79.5889310,289.6,77,122,112
172,40.0076980,-79.5889320,289.6,77,122,112
173,40.0077080,-79.5889320,289.6,76,122,112
174,40.0077210,-79.5889330,289.6,76,122,112
175,40.0077340,-79.5889360,289.5,76,122,112
176,40.0077340,-79.5889360,289.5,76,122,112
177,40.0077500,-79.5889330,289.5,76,122,112
178,40.0077590,-79.5889270,289.5,76,122,112
179,40.0077700,-79.5889220,289.5,76,122,112
180,40.0077820,-79.5889180,289.5,76,122,112
181,40.0077960,-79.5889180,289.4,77,122,112
182,40.0078130,-79.5889200,289.4,77,122,112
183,40.0078330,-79.5889220,289.4,78,122,112
184,40.0078470,-79.5889230,289.4,79,122,112
185,40.0078570,-79.5889240,289.3,79,122,112
186,40.0078570,-79.5889240,289.3,80,122,112
187,40.0078710,-79.5889200,289.3,80,122,112
188,40.0078710,-79.5889200,289.3,80,122,112
189,40.0078780,-79.5889100,289.3,79,122,112
190,40.0078780,-79.5889100,289.3,79,122,112
191,40.0078890,-79.5889040,289.3,78,122,112
192,40.0078890,-79.5889040,289.3,78,122,112
193,40.0078890,-79.5889040,289.3,77,122,112
194,40.0078960,-79.5889160,289.3,75,122,112
195,40.0079100,-79.5889190,289.3,74,122,112
196,40.0079280,-79.5889220,289.2,74,122,112
197,40.0079500,-79.5889220,289.2,73,122,112
198,40.0079680,-79.5889210,289.2,72,122,112
199,40.0079790,-79.5889190,289.2,72,122,112
200,40.0079790,-79.5889190,289.2,71,122,112
201,40.0080000,-79.5889200,289.1,71,122,112
202,40.0080160,-79.5889220,289.1,71,122,112
203,40.0080320,-79.5889230,289.1,71,122,112
204,40.0080480,-79.5889240,289.0,71,122,112
205,40.0080630,-79.5889240,289.0,71,122,112
206,40.0080720,-79.5889260,289.0,71,122,112
207,40.0080840,-79.5889260,289.0,71,122,112
208,40.0080960,-79.5889270,289.0,71,122,112
209,40.0080960,-79.5889270,289.0,71,122,112
210,40.0081110,-79.5889270,288.9,72,122,112
211,40.0081220,-79.5889270,288.9,72,122,112
212,40.0081340,-79.5889290,288.9,72,122,112
213,40.0081470,-79.5889330,288.9,72,122,112
214,40.0081630,-79.5889350,288.8,73,122,112
215,40.0081800,-79.5889360,288.8,79,122,112
216,40.0081960,-79.5889320,288.8,79,122,112
217,40.0082080,-79.5889230,288.7,78,122,112
218,40.0082150,-79.5889050,288.7,78,122,112
219,40.0082190,-79.5888820,288.7,77,122,112
220,40.0082200,-79.5888580,288.6,76,122,112
221,40.0082240,-79.5888340,288.6,76,122,112
222,40.0082310,-79.5888090,288.5,76,122,112
223,40.0082400,-79.5887870,288.5,76,122,112
224,40.0082510,-79.5887690,288.5,76,122,112
225,40.0082700,-79.5887570,288.4,74,122,112
226,40.0082920,-79.5887530,288.4,75,122,112
227,40.0083130,-79.5887570,288.3,76,122,112
228,40.0083310,-79.5887640,288.3,77,122,112
229,40.0083430,-79.5887700,288.3,77,122,112
230,40.0083430,-79.5887700,288.3,78,122,112
231,40.0083520,-79.5887790,288.2,79,122,112
232,40.0083520,-79.5887790,288.2,77,122,112
233,40.0083610,-79.5887700,288.2,78,122,112
234,40.0083610,-79.5887700,288.2,78,122,112
235,40.0083680,-79.5887610,288.2,78,122,112
236,40.0083680,-79.5887610,288.2,77,122,112
237,40.0083770,-79.5887530,288.2,77,122,112
238,40.0083910,-79.5887460,288.1,76,122,112
239,40.0084090,-79.5887420,288.1,75,122,112
240,40.0084300,-79.5887410,288.1,75,122,112
241,40.0084530,-79.5887450,288.0,75,122,112
242,40.0084770,-79.5887530,288.1,74,122,112
243,40.0084960,-79.5887620,288.1,74,122,112
244,40.0085080,-79.5887710,288.1,74,122,112
245,40.0085080,-79.5887710,288.1,74,122,112
