Time (secs),Lat,Lon,Elev,Heart_Rate (bpm),HRmax (bpm),HRmin (bpm)
0,40.0071480,-79.5888990,290.2,83,122,112
1,40.0071570,-79.5888990,290.2,83,122,112
2,40.0071570,-79.5888990,290.2,83,122,112
3,40.0071750,-79.5889020,290.2,83,122,112
4,40.0071860,-79.5889040,290.2,83,122,112
5,40.0071980,-79.5889080,290.2,82,122,112
6,40.0072090,-79.5889110,290.2,82,122,112
7,40.0072200,-79.5889130,290.2,82,122,112
8,40.0072310,-79.5889130,290.2,82,122,112
9,40.0072430,-79.5889120,290.1,82,122,112
10,40.0072570,-79.5889120,290.1,82,122,112
11,40.0072710,-79.5889110,290.1,82,122,112
12,40.0072840,-79.5889130,290.1,82,122,112
13,40.0072950,-79.5889160,290.1,83,122,112
14,40.0072950,-79.5889160,290.1,83,122,112
15,40.0073140,-79.5889170,290.1,83,122,112
16,40.0073300,-79.5889160,290.0,83,122,112
17,40.0073430,-79.5889160,290.0,83,122,112
18,40.0073540,-79.5889170,290.0,83,122,112
19,40.0073640,-79.5889170,290.0,83,122,112
20,40.0073780,-79.5889150,290.0,84,122,112
21,40.0073950,-79.5889110,290.0,83,122,112
22,40.0074130,-79.5889070,289.9,84,122,112
23,40.0074340,-79.5889060,289.9,84,122,112
24,40.0074600,-79.5889070,289.9,84,122,112
25,40.0074850,-79.5889080,289.9,86,122,112
26,40.0075030,-79.5889080,289.8,85,122,112
27,40.0075160,-79.5889100,289.8,85,122,112
28,40.0075160,-79.5889100,289.8,86,122,112
29,40.0075270,-79.5889140,289.8,85,122,112
30,40.0075270,-79.5889140,289.8,85,122,112
31,40.0075270,-79.5889140,289.8,85,122,112
32,40.0075400,-79.5889130,289.8,85,122,112
33,40.0075400,-79.5889130,289.8,85,122,112
34,40.0075550,-79.5889150,289.8,86,122,112
35,40.0075550,-79.5889150,289.8,85,122,112
36,40.0075680,-79.5889100,289.8,84,122,112
37,40.0075780,-79.5889000,289.8,84,122,112
38,40.0075900,-79.5888810,289.7,82,122,112
39,40.0076010,-79.5888550,289.7,83,122,112
40,40.0076100,-79.5888280,289.7,83,122,112
41,40.0076140,-79.5888100,289.6,83,122,112
42,40.0076200,-79.5887910,289.6,83,122,112
43,40.0076290,-79.5887680,289.6,81,122,112
44,40.0076420,-79.5887450,289.6,82,122,112
45,40.0076610,-79.5887250,289.5,83,122,112
46,40.0076840,-79.5887160,289.5,83,122,112
47,40.0077040,-79.5887140,289.5,84,122,112
48,40.0077230,-79.5887170,289.4,84,122,112
49,40.0077390,-79.5887200,289.4,84,122,112
50,40.0077500,-79.5887240,289.4,84,122,112
51,40.0077580,-79.5887270,289.4,85,122,112
52,40.0077580,-79.5887270,289.4,85,122,112
53,40.0077690,-79.5887330,289.3,85,122,112
54,40.0077690,-79.5887330,289.3,86,122,112
55,40.0077690,-79.5887330,289.3,85,122,112
56,40.0077780,-79.5887390,289.3,85,122,112
57,40.0077780,-79.5887390,289.3,84,122,112
58,40.0077900,-79.5887430,289.3,85,122,112
59,40.0078010,-79.5887430,289.3,82,122,112
60,40.0078130,-79.5887410,289.3,82,122,112
61,40.0078280,-79.5887390,289.3,82,122,112
62,40.0078450,-79.5887390,289.2,83,122,112
63,40.0078650,-79.5887400,289.2,83,122,112
64,40.0078840,-79.5887410,289.2,83,122,112
65,40.0079050,-79.5887430,289.1,83,122,112
66,40.0079290,-79.5887480,289.1,83,122,112
67,40.0079530,-79.5887540,289.1,84,122,112
68,40.0079770,-79.5887590,289.0,83,122,112
69,40.0080020,-79.5887610,289.0,83,122,112
