Time (secs),Lat,Lon,Elev,Heart_Rate (bpm),HRmax (bpm),HRmin (bpm)
0,40.0125760,-79.6169010,299.3,65,122,112
1,40.0125760,-79.6169010,299.3,66,122,112
2,40.0125760,-79.6169010,299.3,66,122,112
3,40.0125760,-79.6169010,299.3,67,122,112
4,40.0125760,-79.6169010,299.3,68,122,112
5,40.0125760,-79.6169010,299.3,68,122,112
6,40.0125760,-79.6169010,299.3,69,122,112
7,40.0125760,-79.6169130,299.3,70,122,112
8,40.0125760,-79.6169130,299.3,71,122,112
9,40.0125760,-79.6169130,299.3,72,122,112
10,40.0125650,-79.6169170,299.3,72,122,112
11,40.0125650,-79.6169170,299.3,73,122,112
12,40.0125650,-79.6169170,299.3,74,122,112
13,40.0125650,-79.6169170,299.3,74,122,112
14,40.0125650,-79.6169170,299.3,74,122,112
15,40.0125540,-79.6169220,299.3,75,122,112
16,40.0125540,-79.6169220,299.3,76,122,112
17,40.0125450,-79.6169430,299.4,77,122,112
18,40.0125430,-79.6169640,299.4,78,122,112
19,40.0125450,-79.6169880,299.4,78,122,112
20,40.0125470,-79.6170080,299.5,79,122,112
21,40.0125500,-79.6170270,299.5,79,122,112
22,40.0125530,-79.6170470,299.5,79,122,112
23,40.0125570,-79.6170600,299.5,79,122,112
24,40.0125630,-79.6170710,299.5,78,122,112
25,40.0125690,-79.6170870,299.5,78,122,112
26,40.0125750,-79.6171020,299.4,78,122,112
27,40.0125810,-79.6171150,299.4,78,122,112
28,40.0125810,-79.6171150,299.4,77,122,112
29,40.0125960,-79.6171330,299.4,77,122,112
30,40.0126090,-79.6171440,299.3,77,122,112
31,40.0126200,-79.6171530,299.3,77,122,112
32,40.0126350,-79.6171640,299.2,77,122,112
33,40.0126520,-79.6171760,299.2,77,122,112
34,40.0126670,-79.6171860,299.2,76,122,112
35,40.0126810,-79.6171970,299.2,76,122,112
36,40.0126920,-79.6172070,299.2,76,122,112
37,40.0127040,-79.6172170,299.2,76,122,112
38,40.0127190,-79.6172260,299.2,76,122,112
39,40.0127340,-79.6172320,299.2,77,122,112
40,40.0127480,-79.6172350,299.2,78,122,112
41,40.0127600,-79.6172370,299.2,78,122,112
42,40.0127720,-79.6172390,299.2,78,122,112
43,40.0127840,-79.6172430,299.2,78,122,112
44,40.0127960,-79.6172480,299.1,79,122,112
45,40.0128080,-79.6172530,299.1,79,122,112
46,40.0128200,-79.6172570,299.1,79,122,112
47,40.0128320,-79.6172600,299.1,79,122,112
48,40.0128450,-79.6172620,299.1,80,122,112
49,40.0128570,-79.6172640,299.1,80,122,112
50,40.0128690,-79.6172690,299.1,80,122,112
51,40.0128860,-79.6172780,299.1,80,122,112
52,40.0129060,-79.6172870,299.1,80,122,112
53,40.0129260,-79.6172930,299.2,80,122,112
54,40.0129440,-79.6172960,299.2,81,122,112
55,40.0129630,-79.6173000,299.2,81,122,112
56,40.0129830,-79.6173110,299.2,81,122,112
57,40.0130010,-79.6173260,299.2,81,122,112
58,40.0130150,-79.6173410,299.2,81,122,112
59,40.0130290,-79.6173540,299.4,80,122,112
60,40.0130390,-79.6173650,299.3,81,122,112
61,40.0130390,-79.6173650,299.3,80,122,112
62,40.0130460,-79.6173780,299.3,80,122,112
63,40.0130460,-79.6173780,299.3,80,122,112
64,40.0130460,-79.6173780,299.3,80,122,112
65,40.0130460,-79.6173780,299.3,80,122,112
66,40.0130500,-79.6173930,299.3,80,122,112
67,40.0130500,-79.6173930,299.3,80,122,112
68,40.0130570,-79.6174120,299.4,80,122,112
69,40.0130640,-79.6174260,299.4,80,122,112
70,40.0130700,-79.6174420,299.4,80,122,112
71,40.0130740,-79.6174600,299.3,80,122,112
72,40.0130780,-79.6174820,299.3,80,122,112
73,40.0130830,-79.6175120,299.3,80,122,112
74,40.0130860,-79.6175400,299.2,80,122,112
75,40.0130880,-79.6175640,299.4,79,122,112
76,40.0130880,-79.6175840,299.4,79,122,112
77,40.0130870,-79.6175980,299.2,79,122,112
78,40.0130870,-79.6175980,299.2,78,122,112
79,40.0130840,-79.6176150,299.2,78,122,112
80,40.0130840,-79.6176150,299.2,78,122,112
81,40.0130830,-79.6176350,299.2,78,122,112
82,40.0130830,-79.6176350,299.2,77,122,112
83,40.0130820,-79.6176570,299.2,77,122,112
84,40.0130810,-79.6176770,299.2,77,122,112
85,40.0130790,-79.6176980,299.2,77,122,112
86,40.0130760,-79.6177210,299.2,77,122,112
87,40.0130720,-79.6177410,299.2,77,122,112
88,40.0130670,-79.6177590,299.2,77,122,112
89,40.0130600,-79.6177770,299.2,76,122,112
90,40.0130530,-79.6177940,299.1,76,122,112
91,40.0130450,-79.6178110,299.1,76,122,112
92,40.0130380,-79.6178260,299.1,76,122,112
93,40.0130300,-79.6178430,299.1,76,122,112
94,40.0130210,-79.6178580,299.1,76,122,112
95,40.0130140,-79.6178720,299.1,76,122,112
96,40.0130060,-79.6178850,299.2,76,122,112
97,40.0130000,-79.6178960,299.2,76,122,112
98,40.0129960,-79.6179080,299.2,76,122,112
99,40.0129910,-79.6179200,299.3,76,122,112
100,40.0129820,-79.6179310,299.2,76,122,112
101,40.0129720,-79.6179420,299.2,76,122,112
102,40.0129620,-79.6179520,299.2,76,122,112
103,40.0129520,-79.6179620,299.1,76,122,112
104,40.0129420,-79.6179710,299.2,77,122,112
105,40.0129300,-79.6179800,299.2,77,122,112
106,40.0129140,-79.6179900,299.1,77,122,112
107,40.0128960,-79.6180000,299.1,77,122,112
108,40.0128780,-79.6180080,299.2,77,122,112
109,40.0128640,-79.6180130,299.2,77,122,112
110,40.0128520,-79.6180170,299.1,78,122,112
111,40.0128410,-79.6180210,299.1,78,122,112
112,40.0128320,-79.6180260,299.1,78,122,112
113,40.0128320,-79.6180260,299.1,78,122,112
114,40.0128180,-79.6180400,299.1,78,122,112
115,40.0128110,-79.6180480,299.1,78,122,112
116,40.0128010,-79.6180560,299.3,78,122,112
117,40.0127890,-79.6180620,299.3,79,122,112
118,40.0127740,-79.6180680,299.3,79,122,112
119,40.0127600,-79.6180740,299.3,79,122,112
120,40.0127480,-79.6180770,299.2,79,122,112
121,40.0127350,-79.6180790,299.2,79,122,112
122,40.0127230,-79.6180810,299.1,79,122,112
123,40.0127230,-79.6180810,299.1,79,122,112
124,40.0127110,-79.6180840,299.1,79,122,112
125,40.0127110,-79.6180840,299.1,79,122,112
126,40.0126950,-79.6180930,299.2,79,122,112
127,40.0126850,-79.6180970,299.1,79,122,112
128,40.0126730,-79.6181050,299.1,79,122,112
129,40.0126600,-79.6181140,299.1,79,122,112
130,40.0126460,-79.6181240,299.1,79,122,112
131,40.0126270,-79.6181350,299.2,79,122,112
132,40.0126060,-79.6181440,299.2,80,122,112
133,40.0125830,-79.6181530,299.2,80,122,112
134,40.0125600,-79.6181620,299.1,80,122,112
135,40.0125370,-79.6181700,299.1,79,122,112
136,40.0125190,-79.6181770,299.1,79,122,112
137,40.0125040,-79.6181810,299.2,79,122,112
138,40.0124880,-79.6181850,299.2,79,122,112
139,40.0124780,-79.6181870,299.2,79,122,112
140,40.0124780,-79.6181870,299.2,79,122,112
141,40.0124600,-79.6181900,299.2,80,122,112
142,40.0124600,-79.6181900,299.2,81,122,112
143,40.0124400,-79.6182010,299.2,82,122,112
144,40.0124290,-79.6182070,299.2,83,122,112
145,40.0124170,-79.6182090,299.2,83,122,112
146,40.0123990,-79.6182150,299.2,84,122,112
147,40.0123830,-79.6182200,299.1,84,122,112
148,40.0123700,-79.6182240,299.1,85,122,112
149,40.0123560,-79.6182300,299.0,85,122,112
150,40.0123460,-79.6182350,299.0,85,122,112
151,40.0123340,-79.6182430,299.0,85,122,112
152,40.0123210,-79.6182480,299.0,84,122,112
153,40.0123090,-79.6182520,299.0,84,122,112
154,40.0122930,-79.6182570,299.0,85,122,112
