Time (secs),Lat,Lon,Elev,Heart_Rate (bpm),HRmax (bpm),HRmin (bpm)
0,40.0072200,-79.5889200,290.2,88,122,112
0,40.0072200,-79.5889200,290.2,88,122,112
7,40.0073060,-79.5888000,290.0,88,122,112
12,40.0073310,-79.5887800,290.0,88,122,112
12,40.0073550,-79.5887600,290.0,88,122,112
17,40.0074540,-79.5887760,289.8,88,122,112
22,40.0075340,-79.5887900,289.7,88,122,112
27,40.0075900,-79.5888100,289.6,88,122,112
34,40.0076830,-79.5888000,289.5,88,122,112
40,40.0077480,-79.5888000,289.4,88,122,112
45,40.0078200,-79.5888000,289.3,88,122,112
50,40.0078960,-79.5887900,289.2,88,122,112
55,40.0079730,-79.5887900,289.0,88,122,112
57,40.0079730,-79.5887900,289.0,105,122,112
60,40.0080530,-79.5888000,288.9,105,122,112
63,40.0080530,-79.5888000,288.9,105,122,112
65,40.0081520,-79.5888060,288.7,105,122,112
73,40.0082780,-79.5887800,288.4,105,122,112
78,40.0083540,-79.5887760,288.2,105,122,112
82,40.0084420,-79.5887700,288.0,105,122,112
91,40.0085500,-79.5887700,288.2,105,122,112
96,40.0086560,-79.5887800,288.5,105,122,112
101,40.0087430,-79.5887760,288.7,105,122,112
106,40.0088300,-79.5887600,288.8,105,122,112
111,40.0089070,-79.5887600,289.0,105,122,112
116,40.0089760,-79.5887700,289.0,105,122,112
118,40.0089760,-79.5887700,289.0,116,122,112
121,40.0089760,-79.5887700,289.0,116,122,112
131,40.0091170,-79.5887800,289.0,116,122,112
136,40.0091970,-79.5887800,289.0,116,122,112
146,40.0092960,-79.5887760,289.0,116,122,112
151,40.0093800,-79.5887700,289.1,116,122,112
156,40.0094570,-79.5887760,289.3,116,122,112
161,40.0095370,-79.5887700,289.5,116,122,112
166,40.0096170,-79.5887800,289.6,116,122,112
171,40.0097050,-79.5887800,289.8,116,122,112
176,40.0098100,-79.5887900,290.0,116,122,112
178,40.0098100,-79.5887900,290.0,122,122,112
181,40.0099070,-79.5887800,290.0,122,122,112
181,40.0099070,-79.5887800,290.0,122,122,112
186,40.0100200,-79.5887700,290.0,122,122,112
191,40.0101000,-79.5887760,290.0,122,122,112
196,40.0101800,-79.5887760,290.0,122,122,112
201,40.0102420,-79.5887900,290.0,122,122,112
211,40.0103380,-79.5887900,290.0,122,122,112
216,40.0103800,-79.5888000,290.0,122,122,112
226,40.0104800,-79.5888000,290.1,122,122,112
231,40.0105440,-79.5888100,290.1,122,122,112
236,40.0106200,-79.5888200,290.1,122,122,112
238,40.0106200,-79.5888200,290.1,115,122,112
241,40.0107100,-79.5888060,290.2,115,122,112
246,40.0107770,-79.5887800,290.2,115,122,112
251,40.0108640,-79.5887800,290.3,115,122,112
256,40.0109520,-79.5888000,290.4,115,122,112
261,40.0110400,-79.5888060,290.6,115,122,112
266,40.0111270,-79.5887800,290.9,115,122,112
271,40.0112100,-79.5887900,291.0,115,122,112
276,40.0112720,-79.5888060,291.1,115,122,112
286,40.0113800,-79.5888000,291.3,115,122,112
291,40.0114860,-79.5888100,291.4,115,122,112
296,40.0116000,-79.5888060,291.5,115,122,112
298,40.0116000,-79.5888060,291.5,113,122,112
301,40.0117100,-79.5888060,291.6,113,122,112
301,40.0117100,-79.5888060,291.6,113,122,112
306,40.0118180,-79.5888060,291.7,113,122,112
311,40.0119250,-79.5888000,291.9,113,122,112
316,40.0120160,-79.5887800,292.0,113,122,112
321,40.0121000,-79.5887760,292.1,113,122,112
326,40.0121800,-79.5887900,292.1,113,122,112
331,40.0122450,-79.5888060,292.0,113,122,112
336,40.0123140,-79.5888200,292.0,113,122,112
341,40.0123830,-79.5888300,292.0,113,122,112
346,40.0124470,-79.5888200,292.1,113,122,112
356,40.0125350,-79.5888200,292.0,113,122,112
358,40.0125350,-79.5888200,292.0,117,122,112
361,40.0125350,-79.5888200,292.0,117,122,112
361,40.0125350,-79.5888200,292.0,117,122,112
371,40.0126400,-79.5888100,292.0,117,122,112
376,40.0126900,-79.5888000,292.1,117,122,112
381,40.0127530,-79.5887900,292.2,117,122,112
385,40.0128140,-79.5887800,292.4,117,122,112
390,40.0129130,-79.5887900,292.6,117,122,112
395,40.0130420,-79.5888000,292.9,117,122,112
400,40.0131340,-79.5888060,293.0,117,122,112
406,40.0132400,-79.5888300,293.0,117,122,112
413,40.0133200,-79.5888440,293.0,117,122,112
418,40.0133200,-79.5888440,293.0,118,122,112
418,40.0133200,-79.5888440,293.0,118,122,112
423,40.0134400,-79.5888300,292.8,118,122,112
427,40.0134720,-79.5888350,292.7,118,122,112
428,40.0135040,-79.5888400,292.7,118,122,112
433,40.0135960,-79.5888400,292.4,118,122,112
