Time (secs),Lat,Lon,Elev,Heart_Rate (bpm),HRmax (bpm),HRmin (bpm)
0,40.0071040,-79.5890280,290.3,69,122,112
1,40.0071040,-79.5890280,290.3,69,122,112
2,40.0070830,-79.5890240,290.3,69,122,112
3,40.0070790,-79.5890100,290.3,69,122,112
4,40.0070770,-79.5889790,290.4,70,122,112
5,40.0070730,-79.5889660,290.4,70,122,112
6,40.0070750,-79.5889470,290.3,70,122,112
7,40.0070750,-79.5889470,290.3,70,122,112
8,40.0070890,-79.5889200,290.3,71,122,112
9,40.0070990,-79.5889170,290.3,71,122,112
10,40.0071090,-79.5889210,290.3,71,122,112
11,40.0071230,-79.5889200,290.3,71,122,112
12,40.0071370,-79.5889210,290.2,71,122,112
13,40.0071480,-79.5889250,290.2,71,122,112
14,40.0071570,-79.5889280,290.2,71,122,112
15,40.0071570,-79.5889280,290.2,71,122,112
16,40.0071750,-79.5889350,290.2,71,122,112
17,40.0071880,-79.5889370,290.2,71,122,112
18,40.0071880,-79.5889370,290.2,71,122,112
19,40.0072020,-79.5889350,290.2,71,122,112
20,40.0072020,-79.5889350,290.2,71,122,112
21,40.0072140,-79.5889270,290.1,72,122,112
22,40.0072140,-79.5889270,290.1,72,122,112
23,40.0072280,-79.5889100,290.1,72,122,112
24,40.0072350,-79.5888950,290.1,72,122,112
25,40.0072400,-79.5888830,290.1,72,122,112
26,40.0072470,-79.5888710,290.1,72,122,112
27,40.0072570,-79.5888550,290.1,72,122,112
28,40.0072700,-79.5888370,290.0,73,122,112
29,40.0072830,-79.5888180,290.0,74,122,112
30,40.0072950,-79.5888020,290.0,75,122,112
31,40.0073090,-79.5887860,290.0,76,122,112
32,40.0073220,-79.5887730,290.0,76,122,112
33,40.0073380,-79.5887640,289.9,76,122,112
34,40.0073560,-79.5887580,289.9,77,122,112
35,40.0073760,-79.5887570,289.9,77,122,112
36,40.0073990,-79.5887590,289.9,78,122,112
37,40.0074210,-79.5887630,289.9,78,122,112
38,40.0074390,-79.5887680,289.8,79,122,112
39,40.0074560,-79.5887730,289.8,79,122,112
40,40.0074720,-79.5887770,289.8,79,122,112
