Day,Metric,Unit,Amount
12/14/2017,Weight (Nokia),lbs,183.731
12/14/2017,Body Fat (Nokia),%,19.751
12/14/2017,Weight (Nokia),lbs,183.751
12/14/2017,Body Fat (Nokia),%,19.557
12/15/2017,Weight (Nokia),lbs,179.278
12/15/2017,Body Fat (Nokia),%,17.524
12/15/2017,Weight (Nokia),lbs,179.822
12/15/2017,Body Fat (Nokia),%,16.576
12/15/2017,Ketones (Urine),mmol/L,8
12/16/2017,Weight (Nokia),lbs,178.548
12/16/2017,Body Fat (Nokia),%,19.423
12/16/2017,Weight (Nokia),lbs,178.061
12/16/2017,Body Fat (Nokia),%,20.578
12/17/2017,Weight (Nokia),lbs,181.471
12/17/2017,Weight (Nokia),lbs,181.471
12/17/2017,Body Fat (Nokia),%,20.677
12/17/2017,Body Fat (Nokia),%,20.677
12/17/2017,Weight (Nokia),lbs,182.585
12/17/2017,Weight (Nokia),lbs,182.585
12/17/2017,Body Fat (Nokia),%,20.297
12/17/2017,Body Fat (Nokia),%,20.297
12/17/2017,Weight (Nokia),lbs,183.802
12/17/2017,Weight (Nokia),lbs,183.63
12/17/2017,Body Fat (Nokia),%,18.249
12/18/2017,Weight (Nokia),lbs,180.977
12/18/2017,Body Fat (Nokia),%,20.697
12/18/2017,Weight (Nokia),lbs,180.744
12/18/2017,Body Fat (Nokia),%,21.919
12/18/2017,Blood Glucose,mg/dL,111
12/19/2017,Weight (Nokia),lbs,181.346
12/19/2017,Body Fat (Nokia),%,21.238
12/19/2017,Weight (Nokia),lbs,182.699
12/19/2017,Body Fat (Nokia),%,19.259
12/19/2017,Weight (Nokia),lbs,181.176
12/19/2017,Body Fat (Nokia),%,20.65
12/19/2017,Blood Glucose,mg/dL,108
12/20/2017,Weight (Nokia),lbs,179.007
12/20/2017,Body Fat (Nokia),%,22.119
12/20/2017,Weight (Nokia),lbs,179.644
12/20/2017,Body Fat (Nokia),%,21.427
12/20/2017,Blood Glucose,mg/dL,121
12/20/2017,Blood Glucose,mg/dL,107
12/21/2017,Weight (Nokia),lbs,178.632
12/21/2017,Weight (Nokia),lbs,178.259
12/21/2017,Body Fat (Nokia),%,21.297
12/21/2017,Blood Glucose,mg/dL,110
12/21/2017,Blood Glucose,mg/dL,104
12/21/2017,Weight (Nokia),lbs,178.832
12/22/2017,Weight (Nokia),lbs,176.103
12/22/2017,Body Fat (Nokia),%,21.958
12/22/2017,Weight (Nokia),lbs,176.544
12/22/2017,Body Fat (Nokia),%,21.341
12/23/2017,Weight (Nokia),lbs,178.967
12/23/2017,Body Fat (Nokia),%,21.631
12/24/2017,Weight (Nokia),lbs,179.439
12/24/2017,Body Fat (Nokia),%,22.054
12/24/2017,Weight (Nokia),lbs,180.933
12/24/2017,Body Fat (Nokia),%,22.164
12/25/2017,Weight (Nokia),lbs,179.095
12/25/2017,Body Fat (Nokia),%,22.478
12/26/2017,Weight (Nokia),lbs,180.537
12/26/2017,Body Fat (Nokia),%,22.152
12/26/2017,Blood Glucose,mg/dL,106
12/27/2017,Weight (Nokia),lbs,178.017
12/27/2017,Body Fat (Nokia),%,23.221
12/27/2017,Blood Glucose,mg/dL,101
12/27/2017,Weight (Nokia),lbs,177.957
12/27/2017,Body Fat (Nokia),%,21.593
12/28/2017,Weight (Nokia),lbs,179.816
12/28/2017,Body Fat (Nokia),%,20.843
12/28/2017,Blood Glucose,mg/dL,109
12/28/2017,Weight (Nokia),lbs,180.356
12/28/2017,Body Fat (Nokia),%,21.709
12/29/2017,Weight (Nokia),lbs,178.281
12/29/2017,Body Fat (Nokia),%,22.494
12/29/2017,Weight (Nokia),lbs,180.988
12/29/2017,Body Fat (Nokia),%,19.319
12/29/2017,Weight (Nokia),lbs,180.812
12/29/2017,Body Fat (Nokia),%,20.118
12/30/2017,Weight (Nokia),lbs,178.098
12/30/2017,Body Fat (Nokia),%,20.016
12/30/2017,Weight (Nokia),lbs,178.391
12/30/2017,Body Fat (Nokia),%,21.528
12/31/2017,Weight (Nokia),lbs,181.709
12/31/2017,Body Fat (Nokia),%,21.281
12/31/2017,Weight (Nokia),lbs,182.364
12/31/2017,Body Fat (Nokia),%,20.298
1/1/2018,Weight (Nokia),lbs,178.865
1/1/2018,Body Fat (Nokia),%,22.174
1/1/2018,Weight (Nokia),lbs,180.226
1/1/2018,Body Fat (Nokia),%,21.725
1/2/2018,Weight (Nokia),lbs,178.178
1/2/2018,Body Fat (Nokia),%,22.086
1/2/2018,Weight (Nokia),lbs,178.319
1/2/2018,Body Fat (Nokia),%,20.981
1/2/2018,Weight (Nokia),lbs,180.819
1/2/2018,Body Fat (Nokia),%,18.642
1/3/2018,Weight (Nokia),lbs,179.004
1/3/2018,Body Fat (Nokia),%,21.356
1/3/2018,Blood Glucose,mg/dL,110
1/3/2018,Weight (Nokia),lbs,180.303
1/3/2018,Body Fat (Nokia),%,17.693
1/4/2018,Weight (Nokia),lbs,177.849
1/4/2018,Body Fat (Nokia),%,20.206
1/4/2018,Blood Glucose,mg/dL,99
1/4/2018,Weight (Nokia),lbs,177.205
1/4/2018,Body Fat (Nokia),%,21.735
1/5/2018,Blood Glucose,mg/dL,123
1/5/2018,Weight (Nokia),lbs,175.708
1/5/2018,Body Fat (Nokia),%,21.317
1/6/2018,Weight (Nokia),lbs,178.561
1/7/2018,Weight (Nokia),lbs,177.73
1/7/2018,Body Fat (Nokia),%,21.075
1/7/2018,Weight (Nokia),lbs,178.572
1/7/2018,Body Fat (Nokia),%,20.63
1/8/2018,Weight (Nokia),lbs,178.533
1/8/2018,Body Fat (Nokia),%,21.141
1/8/2018,Blood Glucose,mg/dL,123
1/8/2018,Diastolic Blood Pressure,mmHg,100
1/8/2018,Weight (Nokia),lbs,177.951
1/8/2018,Body Fat (Nokia),%,21.557
1/9/2018,Weight (Nokia),lbs,178.44
1/9/2018,Body Fat (Nokia),%,20.497
1/9/2018,Blood Glucose,mg/dL,81
1/9/2018,Blood Glucose,mg/dL,87
1/10/2018,Weight (Nokia),lbs,177.565
