Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
12/14/2017,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/2017,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,
12/14/2017,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/2017,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/2017,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/2017,"Coffee, Decaf, Prepared from Grounds",3.00 large or venti - each 20 fl oz,0,0,17.76,1763.57,0,0,3.94,0.02,0,0,0,0,0,0,0,1.78,35.52,0.12,0.89,88.8,0.48,17.76,959.04,1.78,35.52,0.36,8.35,8.35,0,0,0,0,0,0,0,0.04,0.04,0.04,0,0.04,0.04,0.04,0.09,0.02,0,0.05,1.78,0.02,0,0.04,0.05
12/14/2017,"Coffee, Prepared From Grounds",1.00 large or venti - each 20 fl oz,5.92,0,236.8,588.39,0.08,0.45,1.13,1.5,0.01,0,11.84,0,0,0,0.06,0.59,11.84,0.01,0.06,17.76,0.14,17.76,290.08,0,11.84,0.12,2.78,2.78,0,0,0,0.12,0,0.09,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.03,0.01,0,0.02,0.71,0.01,0,0.01,0.02
12/14/2017,"Morton, Salt Mixture, Lite",1.00 x 0.25 Teaspoon,0,0,,,,,,,,0,,,,,,,0.56,,,0.84,,,354.2,,275.8,,0.01,,,,0.01,0.01,,,,,,,,,,,,,,,0,,,,
12/14/2017,"Macadamia Nuts, Roasted, Salted","0.68 cup, chopped",537,0,0,1.21,0.53,0.07,1.71,0.45,0.27,0,7.5,0,0.53,0,0.43,0,52.5,0.43,1.99,88.5,2.28,148.5,272.25,8.78,264.75,0.97,9.62,6,0.79,3.11,3.62,57.06,0,44.46,0.15,0.98,1.12,8.96,0,0,0.14,0.23,0.44,0.01,0.02,0.49,5.84,0.27,0.05,0.38,0.27
12/14/2017,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted",1.00 x 0.25 cup,180.04,,,,,,,,,,,0,0,,,,19.88,,1.44,,,,,,210,,4,3,,1,1.01,14,0,,,,,2,0,,,,,,,,8,,,,
12/14/2017,"Chicken Breast, Skin Removed Before Cooking",1.39 cup,588.54,0,0,220.31,0.22,0.39,42.26,3.31,2.04,1.16,13.61,98.66,0,17.01,0.92,1.02,51.03,0.17,3.61,91.85,0.06,734.82,840.28,83.01,261.95,4.18,0,0,0,0,0,15.34,289.17,5.24,0.34,2.79,3.33,4.32,0.31,1.35,3.26,5.55,7.89,8.93,2.91,4.17,105.15,4.44,1.23,3.55,5.22
12/14/2017,"Beer, Low Carb",2.00 can - each 12 fl oz,191.16,23.36,0,675.43,0,0,0,0.21,0,0,0,0,0,0,0,0,28.32,0.01,0,28.32,0.04,56.64,120.36,0,21.24,0.07,5.17,0,0,0,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0
12/14/2017,Whiskey,5.00 jigger/shot - each 1.5 fl oz,481.64,69.64,0,138.86,0.01,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0.04,0.08,0,0.04,8.34,4.17,0,2.09,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/2017,"Macadamia Nuts, Roasted, Salted","0.49 cup, chopped",386.64,0,0,0.87,0.38,0.05,1.23,0.33,0.19,0,5.4,0,0.38,0,0.31,0,37.8,0.31,1.43,63.72,1.64,106.92,196.02,6.32,190.62,0.7,6.93,4.32,0.57,2.24,2.61,41.08,0,32.01,0.11,0.7,0.81,6.45,0,0,0.1,0.17,0.32,0.01,0.01,0.35,4.21,0.2,0.04,0.27,0.19
12/15/2017,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/2017,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,
12/15/2017,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/2017,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/2017,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/2017,"Kerrygold, Salted Butter",16.00 g,114.29,,,,,,,,,,,571.43,,,,,,,,,,,,,114.29,,,,,,,12.57,34.29,,,,,9.14,,,,,,,,,,,,,
12/15/2017,"Eggs, Cooked",2.00 large,155,0,0,74.62,0.07,0.51,0.06,1.4,0.12,1.11,44,520,0,87,1.03,0.3,50,0.01,1.19,10,0.03,172,126,30.8,124,1.05,1.12,0,0,1.12,1.12,10.61,373,4.08,0.07,1.34,1.41,3.27,0,0.29,0.3,0.69,1.08,0.9,0.39,0.67,12.58,0.6,0.15,0.51,0.77
12/15/2017,"Egg Whites Only, Cooked",3.00 FDA Serving Size,78,0,0,131.36,0.01,0.66,0.16,0.29,0.01,0.14,6,0,0,0,0,0,10.5,0.03,0.12,16.5,0.02,22.5,244.5,30,249,0.05,1.1,0,0,1.07,1.1,0.26,0,0,0,0,0,0,0,0.43,0.43,0.99,1.52,1.21,0.6,1.03,16.35,0.67,0.19,0.69,1.21
