Day,Metric,Unit,Amount
2016-08-06,"Weight",lbs,292.0
2016-09-06,"Weight",lbs,266.0
2016-09-30,"Weight",lbs,256.0
2016-10-24,"Weight",lbs,251.0
2016-11-07,"Weight",lbs,246.0
2016-11-23,"Weight",lbs,229.0
2016-12-01,"Weight",lbs,233.0
2017-03-29,"Weight",lbs,206.0
2017-04-13,"Weight",lbs,214.0
2017-05-01,"Weight",lbs,218.0
2017-05-17,"Weight",lbs,215.0
2017-05-24,"Weight",lbs,213.0
2017-09-05,"Blood Glucose",mg/dL,111.0
2017-09-07,"Blood Glucose",mg/dL,118.0
2017-09-07,"Blood Glucose",mg/dL,126.0
2017-09-11,"Blood Glucose",mg/dL,125.0
2017-09-13,"Blood Glucose",mg/dL,110.0
2017-09-14,"Weight",lbs,202.8
2017-09-15,"Weight",lbs,200.4
2017-09-16,"Weight",lbs,198.4
2017-09-17,"Weight",lbs,199.4
2017-09-18,"Weight",lbs,200.3
2017-09-18,"Blood Glucose",mg/dL,108.0
2017-09-18,"Blood Glucose",mg/dL,118.0
2017-09-18,"Blood Glucose",mg/dL,111.0
2017-09-18,"Blood Glucose",mg/dL,98.0
2017-09-18,"Blood Glucose",mg/dL,108.0
2017-09-19,"Blood Glucose",mg/dL,99.0
2017-09-19,"Blood Glucose",mg/dL,108.0
2017-09-19,"Weight",lbs,200.4
2017-09-20,"Weight",lbs,199.8
2017-09-21,"Weight",lbs,199.8
2017-09-21,"Blood Glucose",mg/dL,89.0
2017-09-21,"Blood Glucose",mg/dL,92.0
2017-09-21,"Blood Glucose",mg/dL,94.0
2017-09-21,"Blood Glucose",mg/dL,103.0
2017-09-21,"Blood Glucose",mg/dL,88.0
2017-09-22,"Weight",lbs,198.4
2017-09-23,"Weight",lbs,197.6
2017-09-24,"Weight",lbs,198.0
2017-09-25,"Weight",lbs,198.0
2017-09-26,"Blood Glucose",mg/dL,90.0
2017-09-26,"Blood Glucose",mg/dL,94.0
2017-09-26,"Blood Glucose",mg/dL,108.0
2017-09-26,"Blood Glucose",mg/dL,110.0
2017-09-26,"Blood Glucose",mg/dL,105.0
2017-09-26,"Blood Glucose",mg/dL,96.0
2017-09-26,"Blood Glucose",mg/dL,85.0
2017-09-26,"Weight",lbs,198.8
2017-09-27,"Blood Glucose",mg/dL,94.0
2017-09-27,"Weight",lbs,198.6
2017-09-28,"Blood Glucose",mg/dL,95.0
2017-09-28,"Weight",lbs,198.2
2017-09-29,"Weight",lbs,197.2
2017-09-30,"Weight",lbs,197.8
2017-10-01,"Weight",lbs,197.8
2017-10-02,"Blood Glucose",mg/dL,98.0
2017-10-02,"Blood Glucose",mg/dL,113.0
2017-10-02,"Blood Glucose",mg/dL,86.0
2017-10-02,"Weight",lbs,197.0
2017-10-03,"Blood Glucose",mg/dL,106.0
2017-10-03,"Weight",lbs,197.2
2017-10-04,"Weight",lbs,197.2
2017-10-05,"Weight",lbs,194.8
2017-10-05,"Blood Glucose",mg/dL,97.0
2017-10-05,"Blood Glucose",mg/dL,108.0
2017-10-05,"Blood Glucose",mg/dL,88.0
2017-10-06,"Weight",lbs,195.0
2017-10-07,"Weight",lbs,196.0
2017-10-08,"Weight",lbs,197.0
2017-10-09,"Weight",lbs,198.0
2017-10-10,"Weight",lbs,199.8
2017-10-10,"Blood Glucose",mg/dL,130.0
2017-10-10,"Blood Glucose",mg/dL,118.0
2017-10-11,"Blood Glucose",mg/dL,114.0
2017-10-11,"Blood Glucose",mg/dL,87.0
2017-10-11,"Weight",lbs,197.4
2017-10-12,"Blood Glucose",mg/dL,88.0
2017-10-12,"Blood Glucose",mg/dL,85.0
2017-10-12,"Weight",lbs,194.4
2017-10-13,"Weight",lbs,195.0
2017-10-14,"Weight",lbs,196.0
2017-10-15,"Weight",lbs,196.7
2017-10-16,"Weight",lbs,194.4
2017-10-16,"Blood Glucose",mg/dL,97.0
2017-10-17,"Weight",lbs,194.8
2017-10-17,"Blood Glucose",mg/dL,100.0
2017-10-18,"Weight",lbs,194.4
2017-10-19,"Weight",lbs,194.2
2017-10-20,"Weight",lbs,192.0
2017-10-21,"Weight",lbs,193.0
2017-10-22,"Weight",lbs,193.2
2017-10-23,"Blood Glucose",mg/dL,116.0
2017-10-23,"Weight",lbs,192.8
2017-10-23,"Blood Glucose",mg/dL,108.0
2017-10-24,"Waist Size",in,38.0
2017-10-24,"Blood Glucose",mg/dL,97.0
2017-10-24,"Weight",lbs,191.4
2017-10-24,"Body Temperature",°F,97.4
2017-10-24,"Body Fat",%,30.1
2017-10-25,"Blood Glucose",mg/dL,90.0
2017-10-25,"Body Fat",%,30.1
2017-10-25,"Weight",lbs,192.8
2017-10-25,"Body Temperature",°F,96.7
2017-10-26,"Weight",lbs,192.0
2017-10-26,"Body Temperature",°F,97.8
2017-10-26,"Blood Glucose",mg/dL,95.0
2017-10-27,"Weight",lbs,193.3
2017-10-27,"Body Temperature",°F,96.5
2017-10-27,"Ketones (Breath)",ppm,8.8
2017-10-28,"Ketones (Breath)",ppm,11.8
2017-10-28,"Waist Size",in,37.0
2017-10-28,"Weight (Nokia)",lbs,193.182
2017-10-28,"Body Fat (Nokia)",%,21.683
2017-10-28,"Body Fat (Nokia)",%,23.256
2017-10-29,"Body Fat (Nokia)",%,24.372
2017-10-29,"Weight (Nokia)",lbs,194.331
2017-10-29,"Body Fat (Nokia)",%,23.109
2017-10-29,"Ketones (Breath)",ppm,10.1
2017-10-29,"Weight (Nokia)",lbs,190.79
2017-10-29,"Body Fat (Nokia)",%,25.098
2017-10-29,"Body Temperature",°F,97.7
2017-10-29,"Weight (Nokia)",lbs,190.848
2017-10-29,"Body Fat (Nokia)",%,22.988
2017-10-29,"Weight (Nokia)",lbs,190.931
2017-10-29,"Body Fat (Nokia)",%,23.128
2017-10-29,"Weight (Nokia)",lbs,191.857
2017-10-30,"Weight (Nokia)",lbs,193.72
2017-10-30,"Body Fat (Nokia)",%,19.677
2017-10-30,"Blood Glucose",mg/dL,74.0
2017-10-30,"Weight (Nokia)",lbs,191.82
2017-10-30,"Body Fat (Nokia)",%,23.963
2017-10-30,"Weight (Nokia)",lbs,192.422
2017-10-30,"Body Fat (Nokia)",%,24.003
2017-10-31,"Blood Glucose",mg/dL,95.0
2017-10-31,"Weight (Nokia)",lbs,190.321
2017-10-31,"Body Fat (Nokia)",%,22.693
2017-10-31,"Blood Glucose",mg/dL,93.0
2017-10-31,"Weight (Nokia)",lbs,191.877
2017-10-31,"Body Fat (Nokia)",%,21.899
2017-11-01,"Weight (Nokia)",lbs,190.643
2017-11-01,"Body Fat (Nokia)",%,23.163
2017-11-01,"Blood Glucose",mg/dL,65.0
2017-11-01,"Blood Glucose",mg/dL,85.0
2017-11-01,"Blood Glucose",mg/dL,75.0
2017-11-01,"Blood Glucose",mg/dL,86.0
2017-11-02,"Body Temperature",°F,96.7
2017-11-02,"Weight (Nokia)",lbs,190.402
2017-11-02,"Body Fat (Nokia)",%,22.324
2017-11-02,"Blood Glucose",mg/dL,96.0
2017-11-03,"Weight (Nokia)",lbs,188.835
2017-11-03,"Body Fat (Nokia)",%,24.4
2017-11-03,"Blood Glucose",mg/dL,85.0
2017-11-04,"Weight (Nokia)",lbs,187.195
2017-11-04,"Body Fat (Nokia)",%,23.896
2017-11-04,"Weight (Nokia)",lbs,187.177
2017-11-04,"Body Fat (Nokia)",%,24.157
2017-11-05,"Weight (Nokia)",lbs,187.761
2017-11-05,"Body Fat (Nokia)",%,25.28
2017-11-05,"Ketones (Breath)",ppm,18.0
2017-11-05,"Pulse",bpm,60.0
2017-11-05,"Weight (Nokia)",lbs,188.138
2017-11-05,"Body Fat (Nokia)",%,22.909
2017-11-06,"Body Temperature",°F,96.9
2017-11-06,"Blood Glucose",mg/dL,91.0
2017-11-06,"Blood Glucose",mg/dL,94.0
2017-11-06,"Blood Glucose",mg/dL,77.0
2017-11-06,"Weight (Nokia)",lbs,188.266
2017-11-06,"Body Fat (Nokia)",%,23.701
