Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,04:09.5,04:08.0,0.53,3,0,0:07:53,0:07:50,0:07:31,167.65625,172,122.4300049,143,147,--,51
2,02:07.9,02:06.0,0.26,3,0,0:08:04,0:08:00,0:07:29,167.65625,170,120.35,143,146,--,26
3,02:06.5,02:06.0,0.26,0,0,0:07:58,0:07:56,0:07:48,167.390625,170,121.9099976,144,146,--,26
4,04:11.4,04:10.0,0.53,3,0,0:07:56,0:07:54,0:07:43,168.453125,173,120.9300049,143,147,--,50
5,02:05.8,02:04.0,0.26,0,0,0:07:54,0:07:50,0:07:41,168.765625,171,121.9,144,146,--,24
6,02:05.9,02:05.0,0.27,3,3,0:07:54,0:07:51,0:07:41,168.59375,170,121.2400024,144,146,--,24
7,02:05.3,02:05.0,0.26,3,3,0:07:53,0:07:52,0:07:47,168.53125,171,121.4300049,145,147,--,24
8,02:07.6,02:06.0,0.26,0,3,0:08:02,0:07:58,0:07:48,168.421875,171,120.0400024,145,147,--,24
9,02:07.2,02:06.0,0.26,3,3,0:08:06,0:08:02,0:07:48,168.53125,177,118.5,144,146,--,24
10,02:07.4,02:06.0,0.26,0,0,0:08:11,0:08:06,0:07:50,167.484375,169,119.1,142,145,--,23
11,04:09.2,04:08.0,0.53,3,3,0:07:53,0:07:51,0:07:36,168.390625,171,121.9900024,144,147,--,46
12,02:05.2,02:05.0,0.27,3,0,0:07:49,0:07:48,0:07:28,168.703125,173,122.6400024,144,146,--,23
13,02:03.7,02:02.0,0.26,7,3,0:07:56,0:07:49,0:07:29,168.546875,170,122.55,144,147,--,21
14,02:06.6,02:06.0,0.26,3,3,0:07:59,0:07:57,0:07:32,168.5,172,120.6900024,145,146,--,23
15,02:04.9,02:04.0,0.26,0,3,0:07:55,0:07:52,0:07:37,168.421875,171,123.2400024,144,147,--,21
16,02:07.7,02:06.0,0.27,3,3,0:07:57,0:07:53,0:07:47,168.125,173,120.7400024,146,148,--,22
Summary,39:48.9,39:49.0,5.01,39,30,0:07:57,0:07:57,0:07:28,168.25,177,121.3099976,144,148,--,452
